,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,3070650.0,3070650.0,3070650.0,3070650.0
Share Issued,3070650.0,3070650.0,3070650.0,3070650.0
Net Debt,,2533000.0,1433000.0,
Total Debt,4664000.0,5976000.0,10001000.0,11574000.0
Tangible Book Value,125520000.0,117073000.0,117748000.0,110021000.0
Invested Capital,130184000.0,123049000.0,127749000.0,121595000.0
Working Capital,122536000.0,114302000.0,110186000.0,105093000.0
Net Tangible Assets,125520000.0,117073000.0,117748000.0,110021000.0
Common Stock Equity,125520000.0,117073000.0,117748000.0,110021000.0
Total Capitalization,128441000.0,120885000.0,124373000.0,118375000.0
Total Equity Gross Minority Interest,125520000.0,117073000.0,117748000.0,110021000.0
Stockholders Equity,125520000.0,117073000.0,117748000.0,110021000.0
Retained Earnings,,,40884000.0,
Additional Paid In Capital,,,46157000.0,
Capital Stock,30707000.0,30707000.0,30707000.0,30707000.0
Common Stock,30707000.0,30707000.0,30707000.0,30707000.0
Total Liabilities Net Minority Interest,14211000.0,30433000.0,22613000.0,28135000.0
Total Non Current Liabilities Net Minority Interest,4935000.0,5159000.0,7971000.0,10508000.0
Other Non Current Liabilities,,,-1000.0,-1000.0
Non Current Pension And Other Postretirement Benefit Plans,,,1347000.0,
Non Current Deferred Taxes Liabilities,,,0.0,479000.0
Long Term Debt And Capital Lease Obligation,2921000.0,3812000.0,6625000.0,8354000.0
Long Term Debt,2921000.0,3812000.0,6625000.0,8354000.0
Long Term Provisions,2014000.0,1347000.0,1347000.0,1676000.0
Current Liabilities,9276000.0,25274000.0,14642000.0,17627000.0
Other Current Liabilities,1079000.0,18962000.0,7414000.0,9289000.0
Current Deferred Taxes Liabilities,,,645000.0,
Current Debt And Capital Lease Obligation,1743000.0,2164000.0,3376000.0,3220000.0
Current Debt,1743000.0,2164000.0,3376000.0,3220000.0
Pensionand Other Post Retirement Benefit Plans Current,,,386000.0,
Current Provisions,584000.0,1030000.0,1030000.0,289000.0
Payables,5870000.0,3118000.0,4097000.0,4829000.0
Other Payable,,,1277000.0,
Accounts Payable,5870000.0,3118000.0,2820000.0,4829000.0
Total Assets,139731000.0,147506000.0,140361000.0,138156000.0
Total Non Current Assets,7919000.0,7930000.0,15530000.0,15435000.0
Other Non Current Assets,411000.0,411000.0,411000.0,1144000.0
Non Current Prepaid Assets,,,411000.0,
Non Current Deferred Taxes Assets,2609000.0,1363000.0,2792000.0,0.0
Goodwill And Other Intangible Assets,,,0.0,0.0
Net PPE,4899000.0,6156000.0,12327000.0,14291000.0
Accumulated Depreciation,,,-4106000.0,
Gross PPE,4899000.0,6156000.0,16433000.0,14291000.0
Construction In Progress,,,0.0,0.0
Other Properties,4899000.0,6156000.0,12328000.0,14291000.0
Machinery Furniture Equipment,,,16433000.0,
Current Assets,131812000.0,139576000.0,124828000.0,122720000.0
Other Current Assets,586000.0,5300000.0,4627000.0,1443000.0
Prepaid Assets,,,77959000.0,
Inventory,,,0.0,0.0
Other Receivables,1975000.0,109140000.0,73332000.0,45630000.0
Accounts Receivable,59892000.0,21693000.0,38301000.0,59245000.0
Cash Cash Equivalents And Short Term Investments,69359000.0,3443000.0,8568000.0,16402000.0
Cash And Cash Equivalents,69359000.0,3443000.0,8568000.0,16402000.0
Cash Financial,,,8568000.0,
