,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,113385050.0,113385050.0,113385050.0,113385050.0
Share Issued,113385050.0,113385050.0,113385050.0,113385050.0
Net Debt,1128601219.0,474852000.0,791821000.0,419600000.0
Total Debt,1277094274.0,610842000.0,993234000.0,748706000.0
Tangible Book Value,4586158014.0,4679385000.0,4492654000.0,5125454000.0
Invested Capital,5872206756.0,5298720000.0,5496024000.0,5876761000.0
Working Capital,2224834322.0,2333270000.0,2138965000.0,2143887000.0
Net Tangible Assets,4586158014.0,4679385000.0,4492654000.0,5125454000.0
Common Stock Equity,4595112482.0,4687878000.0,4502790000.0,5128055000.0
Total Capitalization,4950636482.0,5170849000.0,4836048000.0,5464580000.0
Total Equity Gross Minority Interest,4595112482.0,4687878000.0,4502790000.0,5128055000.0
Stockholders Equity,4595112482.0,4687878000.0,4502790000.0,5128055000.0
Other Equity Interest,4481727432.0,4574493000.0,4389375936.0,5014670000.0
Retained Earnings,,,3186360000.0,
Additional Paid In Capital,,,15545000.0,
Capital Stock,113385050.0,113385000.0,113385050.0,113385000.0
Common Stock,113385050.0,113385000.0,113385000.0,113385000.0
Total Liabilities Net Minority Interest,2002441981.0,1178219000.0,1684092000.0,1404643000.0
Total Non Current Liabilities Net Minority Interest,723925812.0,862496000.0,649955000.0,660046000.0
Other Non Current Liabilities,,,-28000.0,
Non Current Accrued Expenses,,,4517000.0,
Non Current Deferred Revenue,,,0.0,
Non Current Deferred Taxes Liabilities,178883985.0,236136000.0,182248000.0,215507000.0
Long Term Debt And Capital Lease Obligation,355524000.0,482971000.0,333258000.0,336525000.0
Long Term Debt,355524000.0,482971000.0,333258000.0,336525000.0
Long Term Provisions,178560878.0,131249000.0,126714000.0,101217000.0
Current Liabilities,1278516169.0,315723000.0,1034137000.0,744597000.0
Other Current Liabilities,136369273.0,35930000.0,16217000.0,154960000.0
Current Deferred Taxes Liabilities,,,24030000.0,
Current Debt And Capital Lease Obligation,921570274.0,127871000.0,659976000.0,412181000.0
Current Debt,921570274.0,127871000.0,659976000.0,412181000.0
Current Provisions,13064125.0,19412000.0,20403000.0,15006000.0
Payables,139978239.0,69709000.0,149368000.0,77549000.0
Other Payable,,,26194000.0,
Dividends Payable,,,2591000.0,
Total Tax Payable,21414826.0,34202000.0,24030363.0,33609000.0
Accounts Payable,118563413.0,35507000.0,120583000.0,43940000.0
Total Assets,6597554463.0,5866097000.0,6186882000.0,6532698000.0
Total Non Current Assets,3094203972.0,3217104000.0,3013778000.0,3644214000.0
Other Non Current Assets,40545470.0,40546000.0,49596070.0,40205000.0
Non Current Deferred Taxes Assets,,0.0,,0.0
Investmentin Financial Assets,2061482916.0,2165134000.0,1123540000.0,2600749000.0
Available For Sale Securities,2061482916.0,2165134000.0,11899000.0,2600749000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,1111641000.0,
Goodwill And Other Intangible Assets,8954468.0,8493000.0,10136000.0,2601000.0
Other Intangible Assets,8954468.0,,10136000.0,
Net PPE,983221118.0,1002931000.0,999079000.0,1000659000.0
Accumulated Depreciation,,,-487071000.0,
Gross PPE,983221118.0,1002931000.0,1486150000.0,1000659000.0
Construction In Progress,0.0,12000.0,11562000.0,7173000.0
Other Properties,983221118.0,1002919000.0,15000.0,993486000.0
Machinery Furniture Equipment,,,805978000.0,
Buildings And Improvements,,,350367000.0,
Land And Improvements,,,318228000.0,
Properties,,,0.0,
Current Assets,3503350491.0,2648993000.0,3173102000.0,2888484000.0
Other Current Assets,92621842.0,357510000.0,86196833.0,389607000.0
Assets Held For Sale Current,,,0.0,0.0
Restricted Cash,,,96087000.0,
Prepaid Assets,,,87545000.0,
Inventory,1557792412.0,536921000.0,1333837000.0,954708000.0
Other Inventories,,,1768000.0,
Finished Goods,,,1102826000.0,
Work In Process,,,104807000.0,
Raw Materials,,,124436000.0,
Other Receivables,,,4587000.0,
Taxes Receivable,,12189000.0,369754.0,8020000.0
Accounts Receivable,574001178.0,216372000.0,486242000.0,315518000.0
Allowance For Doubtful Accounts Receivable,,,-18391000.0,
Gross Accounts Receivable,,,504633000.0,
Cash Cash Equivalents And Short Term Investments,1278935059.0,1526001000.0,1164804000.0,1220631000.0
Other Short Term Investments,1130442004.0,1390011000.0,963391000.0,891525000.0
Cash And Cash Equivalents,148493055.0,135990000.0,201413000.0,329106000.0
Cash Equivalents,,,165933000.0,
Cash Financial,,,35480000.0,
