,2025-03-31
Ordinary Shares Number,98294641.0
Share Issued,98294641.0
Total Debt,1782646.0
Tangible Book Value,42291884.0
Invested Capital,183724865.0
Working Capital,19356713.0
Net Tangible Assets,42291884.0
Capital Lease Obligations,180573.0
Common Stock Equity,182122792.0
Total Capitalization,182122792.0
Total Equity Gross Minority Interest,183490987.0
Minority Interest,1368195.0
Stockholders Equity,182122792.0
Gains Losses Not Affecting Retained Earnings,1172799.0
Other Equity Adjustments,1172799.0
Retained Earnings,3488157.0
Additional Paid In Capital,176643350.0
Capital Stock,818486.0
Common Stock,818486.0
Total Liabilities Net Minority Interest,23902462.0
Total Non Current Liabilities Net Minority Interest,316628.0
Non Current Deferred Liabilities,237869.0
Non Current Deferred Revenue,237869.0
Long Term Debt And Capital Lease Obligation,78759.0
Long Term Capital Lease Obligation,78759.0
Current Liabilities,23585834.0
Current Deferred Liabilities,3591120.0
Current Deferred Revenue,3591120.0
Current Debt And Capital Lease Obligation,1703887.0
Current Capital Lease Obligation,101814.0
Current Debt,1602073.0
Line Of Credit,1602073.0
Payables And Accrued Expenses,18290827.0
Current Accrued Expenses,7487950.0
Payables,10802877.0
Other Payable,1206962.0
Dueto Related Parties Current,694015.0
Total Tax Payable,475498.0
Accounts Payable,8426402.0
Total Assets,207393449.0
Total Non Current Assets,164450902.0
Other Non Current Assets,1090548.0
Non Current Deferred Assets,5045298.0
Non Current Deferred Taxes Assets,5045298.0
Investments And Advances,3153706.0
Long Term Equity Investment,3153706.0
Goodwill And Other Intangible Assets,139830908.0
Other Intangible Assets,4585984.0
Goodwill,135244924.0
Net PPE,15330442.0
Accumulated Depreciation,-34138298.0
Gross PPE,49468740.0
Construction In Progress,4521320.0
Machinery Furniture Equipment,31507022.0
Buildings And Improvements,13440398.0
Properties,0.0
Current Assets,42942547.0
Restricted Cash,113.0
Prepaid Assets,2718998.0
Inventory,8848748.0
Inventories Adjustments Allowances,-40360.0
Finished Goods,6647629.0
Work In Process,289148.0
Raw Materials,1952331.0
Receivables,16832902.0
Other Receivables,8409049.0
Taxes Receivable,638781.0
Notes Receivable,2262189.0
Accounts Receivable,5522883.0
Allowance For Doubtful Accounts Receivable,-647747.0
Gross Accounts Receivable,6170630.0
Cash Cash Equivalents And Short Term Investments,14541786.0
Other Short Term Investments,4890180.0
Cash And Cash Equivalents,9651606.0
