,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,1648000000.0,1648000000.0,1648000000.0,1648000000.0
Share Issued,1648000000.0,1648000000.0,1648000000.0,1648000000.0
Tangible Book Value,346361200000.0,288128700000.0,289129200000.0,304931700000.0
Invested Capital,346361200000.0,288128700000.0,289951100000.0,304931700000.0
Net Tangible Assets,346361200000.0,288128700000.0,289129200000.0,304931700000.0
Common Stock Equity,346361200000.0,288128700000.0,289951100000.0,304931700000.0
Total Capitalization,346361200000.0,288128700000.0,289951100000.0,304931700000.0
Total Equity Gross Minority Interest,346879000000.0,288610800000.0,290423400000.0,305455100000.0
Minority Interest,517800000.0,482100000.0,472300000.0,523400000.0
Stockholders Equity,346361200000.0,288128700000.0,289951100000.0,304931700000.0
Retained Earnings,,,0.0,
Additional Paid In Capital,,,18908500000.0,
Capital Stock,8240000000.0,8240000000.0,8240000000.0,8240000000.0
Common Stock,8240000000.0,8240000000.0,8240000000.0,8240000000.0
Total Liabilities Net Minority Interest,756683200000.0,818446400000.0,807253500000.0,808181400000.0
Non Current Deferred Revenue,,,13955600000.0,
Non Current Deferred Taxes Liabilities,74800000.0,,,
Long Term Provisions,182265500000.0,197401700000.0,175746800000.0,175063100000.0
Payables,,,27346500000.0,
Other Payable,,,7920400000.0,
Total Tax Payable,,,7228300000.0,
Accounts Payable,,,12197800000.0,
Total Assets,1103562200000.0,1107057200000.0,1097676900000.0,1113636500000.0
Non Current Deferred Taxes Assets,2573000000.0,2704200000.0,2712200000.0,2850400000.0
Financial Assets,,,0.0,
Investments And Advances,781662500000.0,836505500000.0,809654200000.0,881849100000.0
Investmentin Financial Assets,781662500000.0,836505500000.0,774436900000.0,881849100000.0
Available For Sale Securities,781662500000.0,836505500000.0,107413600000.0,881849100000.0
Long Term Equity Investment,,,0.0,
Investmentsin Subsidiariesat Cost,,,0.0,
Investment Properties,,,0.0,
Goodwill And Other Intangible Assets,,,821900000.0,
Other Intangible Assets,,,682100000.0,
Goodwill,,,139800000.0,
Net PPE,5258800000.0,5217900000.0,4532400000.0,4856500000.0
Accumulated Depreciation,,,-6528500000.0,
Gross PPE,,,11060900000.0,
Construction In Progress,,,57600000.0,
Other Properties,,,2165900000.0,
Machinery Furniture Equipment,,,4941700000.0,
Buildings And Improvements,,,3559600000.0,
Land And Improvements,,,336100000.0,
Prepaid Assets,,,12259100000.0,
Other Receivables,,,18115900000.0,
Taxes Receivable,,,5562700000.0,
Accounts Receivable,,,55614500000.0,
Cash Cash Equivalents And Short Term Investments,192898900000.0,154485600000.0,212322300000.0,126541500000.0
Other Short Term Investments,,,35217300000.0,
Cash And Cash Equivalents,192898900000.0,154485600000.0,177105000000.0,126541500000.0
