,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,43062427.0,,43062427.0
Share Issued,43062427.0,,43062427.0
Net Debt,51982000.0,,73642000.0
Total Debt,62106000.0,9201000.0,87127000.0
Tangible Book Value,-150006000.0,-70898000.0,-76053000.0
Invested Capital,-79188000.0,-55283000.0,16321000.0
Working Capital,-99365000.0,-40828000.0,-39617000.0
Net Tangible Assets,-150006000.0,-70898000.0,-76053000.0
Capital Lease Obligations,8550000.0,9201000.0,9694000.0
Common Stock Equity,-132744000.0,-55283000.0,-61112000.0
Total Capitalization,-96779000.0,-55283000.0,-24112000.0
Total Equity Gross Minority Interest,-132165000.0,-54618000.0,-60444000.0
Minority Interest,579000.0,665000.0,668000.0
Stockholders Equity,-132744000.0,-55283000.0,-61112000.0
Other Equity Interest,,-1000.0,
Gains Losses Not Affecting Retained Earnings,-133175000.0,-170161000.0,-61543000.0
Other Equity Adjustments,-133175000.0,-170161000.0,-61543000.0
Capital Stock,431000.0,114879000.0,431000.0
Common Stock,431000.0,114879000.0,431000.0
Total Liabilities Net Minority Interest,238480000.0,166186000.0,153544000.0
Total Non Current Liabilities Net Minority Interest,81858000.0,53394000.0,53127000.0
Other Non Current Liabilities,-1000.0,43566000.0,
Derivative Product Liabilities,35553000.0,,5053000.0
Employee Benefits,969000.0,978000.0,978000.0
Non Current Pension And Other Postretirement Benefit Plans,969000.0,978000.0,978000.0
Non Current Deferred Liabilities,1965000.0,936000.0,1518000.0
Non Current Deferred Taxes Liabilities,1965000.0,936000.0,1518000.0
Long Term Debt And Capital Lease Obligation,43118000.0,7736000.0,45233000.0
Long Term Capital Lease Obligation,7153000.0,7736000.0,8233000.0
Long Term Debt,35965000.0,,37000000.0
Long Term Provisions,254000.0,178000.0,345000.0
Current Liabilities,156622000.0,112792000.0,100417000.0
Other Current Liabilities,74951000.0,51738000.0,10505000.0
Current Deferred Liabilities,13555000.0,29172000.0,11284000.0
Current Deferred Revenue,13555000.0,29172000.0,11284000.0
Current Debt And Capital Lease Obligation,18988000.0,1465000.0,41894000.0
Current Capital Lease Obligation,1397000.0,1465000.0,1461000.0
Current Debt,17591000.0,,40433000.0
Other Current Borrowings,17591000.0,,38214000.0
Line Of Credit,0.0,,2219000.0
Current Provisions,415000.0,261000.0,184000.0
Payables And Accrued Expenses,48713000.0,30156000.0,36550000.0
Current Accrued Expenses,9119000.0,,6575000.0
Payables,39594000.0,30156000.0,29975000.0
Dueto Related Parties Current,2663000.0,,357000.0
Total Tax Payable,1523000.0,1297000.0,1796000.0
Income Tax Payable,531000.0,1297000.0,1364000.0
Accounts Payable,35408000.0,28859000.0,27822000.0
Total Assets,106315000.0,111568000.0,93100000.0
Total Non Current Assets,49058000.0,39604000.0,32300000.0
Other Non Current Assets,-1000.0,,-1000.0
Non Current Deferred Assets,2317000.0,2423000.0,2684000.0
Non Current Deferred Taxes Assets,2317000.0,2423000.0,2684000.0
Investments And Advances,17246000.0,9470000.0,1583000.0
Investmentin Financial Assets,16203000.0,121000.0,135000.0
Available For Sale Securities,,,135000.0
Long Term Equity Investment,1043000.0,9349000.0,1448000.0
Investmentsin Joint Venturesat Cost,,9349000.0,
Goodwill And Other Intangible Assets,17262000.0,15615000.0,14941000.0
Other Intangible Assets,17262000.0,15615000.0,14941000.0
Goodwill,,0.0,
Net PPE,12234000.0,12096000.0,13093000.0
Accumulated Depreciation,-28186000.0,,-27902000.0
Gross PPE,40420000.0,,40995000.0
Leases,6253000.0,,7253000.0
Construction In Progress,1513000.0,,470000.0
Machinery Furniture Equipment,32326000.0,,33037000.0
Land And Improvements,328000.0,,235000.0
Properties,0.0,,0.0
Current Assets,57257000.0,71964000.0,60800000.0
Other Current Assets,-1000.0,4467000.0,-1000.0
Restricted Cash,0.0,,59000.0
Prepaid Assets,3918000.0,,2996000.0
Inventory,18113000.0,19960000.0,15734000.0
Finished Goods,5423000.0,,5281000.0
Work In Process,9147000.0,,6317000.0
Raw Materials,3543000.0,,4136000.0
Receivables,33653000.0,45081000.0,38221000.0
Other Receivables,353000.0,,4599000.0
Duefrom Related Parties Current,4435000.0,,8918000.0
Accounts Receivable,28865000.0,45081000.0,24704000.0
Cash Cash Equivalents And Short Term Investments,1574000.0,2456000.0,3791000.0
Cash And Cash Equivalents,1574000.0,2456000.0,3791000.0
