,2025-09-30,2025-03-31
Ordinary Shares Number,18300000.0,18000000.0
Share Issued,18300000.0,18000000.0
Net Debt,,4985903.0
Total Debt,128896.0,5257148.0
Tangible Book Value,7982494.0,378104.0
Invested Capital,7982494.0,5466704.0
Working Capital,7453944.0,-215135.0
Net Tangible Assets,7982494.0,378104.0
Capital Lease Obligations,128896.0,168548.0
Common Stock Equity,7982494.0,378104.0
Total Capitalization,7982494.0,378104.0
Total Equity Gross Minority Interest,7982494.0,378104.0
Stockholders Equity,7982494.0,378104.0
Gains Losses Not Affecting Retained Earnings,-2494857.0,-2494857.0
Other Equity Adjustments,-2499987.0,-2499987.0
Foreign Currency Translation Adjustments,5130.0,5130.0
Retained Earnings,3041656.0,2872801.0
Additional Paid In Capital,7435512.0,
Capital Stock,183.0,160.0
Common Stock,183.0,160.0
Total Liabilities Net Minority Interest,2201558.0,9690308.0
Total Non Current Liabilities Net Minority Interest,44689.0,87632.0
Long Term Debt And Capital Lease Obligation,44689.0,87632.0
Long Term Capital Lease Obligation,44689.0,87632.0
Current Liabilities,2156869.0,9602676.0
Current Deferred Liabilities,231172.0,172821.0
Current Deferred Revenue,231172.0,172821.0
Current Debt And Capital Lease Obligation,84207.0,5169516.0
Current Capital Lease Obligation,84207.0,80916.0
Current Debt,,5088600.0
Other Current Borrowings,,5088600.0
Payables And Accrued Expenses,1841490.0,4260339.0
Current Accrued Expenses,769884.0,1292291.0
Payables,1071606.0,2968048.0
Other Payable,2406.0,391446.0
Total Tax Payable,2164.0,8330.0
Income Tax Payable,2164.0,8330.0
Accounts Payable,1067036.0,2568272.0
Total Assets,10184052.0,10068412.0
Total Non Current Assets,573239.0,680871.0
Non Current Deferred Assets,39556.0,29787.0
Non Current Deferred Taxes Assets,39556.0,29787.0
Net PPE,533683.0,651084.0
Accumulated Depreciation,-2558325.0,-2461737.0
Gross PPE,3092008.0,3112821.0
Leases,580776.0,719259.0
Other Properties,983188.0,879326.0
Machinery Furniture Equipment,1528044.0,1514236.0
Properties,0.0,0.0
Current Assets,9610813.0,9387541.0
Current Deferred Assets,0.0,795771.0
Prepaid Assets,109505.0,112305.0
Inventory,2051862.0,1646333.0
Inventories Adjustments Allowances,-209700.0,-267039.0
Finished Goods,790351.0,780055.0
Work In Process,408021.0,259343.0
Raw Materials,1063190.0,873974.0
Receivables,5785649.0,6730435.0
Receivables Adjustments Allowances,-123193.0,-123193.0
Other Receivables,6160.0,2271.0
Duefrom Related Parties Current,340476.0,1053708.0
Taxes Receivable,349403.0,316530.0
Loans Receivable,3893852.0,4291215.0
Accounts Receivable,1318951.0,1189904.0
Allowance For Doubtful Accounts Receivable,-10079.0,-10079.0
Gross Accounts Receivable,1329030.0,1199983.0
Cash Cash Equivalents And Short Term Investments,1663797.0,102697.0
Cash And Cash Equivalents,1663797.0,102697.0
Cash Equivalents,1385000.0,
Cash Financial,278797.0,102697.0
