,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,55632130.0,55632130.0,55632130.0,55632130.0
Share Issued,55632130.0,55632130.0,55632130.0,55632130.0
Total Debt,10335000.0,20562000.0,30318000.0,71194000.0
Tangible Book Value,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Invested Capital,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Working Capital,9014127000.0,8597911000.0,7700192000.0,6602025000.0
Net Tangible Assets,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Capital Lease Obligations,10335000.0,20562000.0,30318000.0,71194000.0
Common Stock Equity,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Total Capitalization,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Total Equity Gross Minority Interest,15166624000.0,14363419000.0,13456421000.0,12579257000.0
Minority Interest,799174000.0,765827000.0,776985000.0,738930000.0
Stockholders Equity,14367450000.0,13597592000.0,12679436000.0,11840327000.0
Other Equity Interest,13811129000.0,13041271000.0,41952000.0,11284006000.0
Retained Earnings,,,9070934000.0,
Additional Paid In Capital,,,2875074000.0,
Capital Stock,556321000.0,556321000.0,556321000.0,556321000.0
Common Stock,556321000.0,556321000.0,556321000.0,556321000.0
Total Liabilities Net Minority Interest,4951182000.0,4160616000.0,4163004000.0,4539329000.0
Total Non Current Liabilities Net Minority Interest,393006000.0,171327000.0,227269000.0,247018000.0
Non Current Deferred Taxes Liabilities,6134000.0,10554000.0,12977000.0,13906000.0
Long Term Debt And Capital Lease Obligation,0.0,2748000.0,10335000.0,60732000.0
Long Term Capital Lease Obligation,0.0,2748000.0,10335000.0,60732000.0
Long Term Provisions,386872000.0,158025000.0,203957000.0,172380000.0
Current Liabilities,4558176000.0,3989289000.0,3935735000.0,4292311000.0
Other Current Liabilities,113982000.0,202786000.0,14176000.0,261339000.0
Current Debt And Capital Lease Obligation,10335000.0,17814000.0,19983000.0,10462000.0
Current Capital Lease Obligation,10335000.0,17814000.0,19983000.0,10462000.0
Current Provisions,80462000.0,94221000.0,115706000.0,114134000.0
Payables,3916861000.0,3247310000.0,3737625000.0,3796232000.0
Other Payable,,,501578000.0,
Total Tax Payable,31075000.0,54340000.0,170080000.0,93972000.0
Accounts Payable,3885786000.0,3192970000.0,3065967000.0,3702260000.0
Total Assets,20117806000.0,18524035000.0,17619425000.0,17118586000.0
Total Non Current Assets,6545503000.0,5936835000.0,5983498000.0,6224250000.0
Other Non Current Assets,501051000.0,196807000.0,62907000.0,168227000.0
Non Current Prepaid Assets,,,203047000.0,
Non Current Deferred Taxes Assets,158640000.0,92838000.0,66445000.0,45038000.0
Investmentin Financial Assets,302938000.0,229508000.0,17832000.0,224004000.0
Held To Maturity Securities,,,15648000.0,
Available For Sale Securities,302938000.0,229508000.0,226731000.0,224004000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,2184000.0,
Goodwill And Other Intangible Assets,0.0,0.0,0.0,0.0
Net PPE,5459647000.0,5295907000.0,5445628000.0,5629359000.0
Accumulated Depreciation,,,-12573322000.0,
Gross PPE,5459647000.0,5295907000.0,18018950000.0,5629359000.0
Construction In Progress,724631000.0,424215000.0,288758000.0,288493000.0
Other Properties,4735016000.0,4871692000.0,119127000.0,5340866000.0
Machinery Furniture Equipment,,,16091903000.0,
Buildings And Improvements,,,1370646000.0,
Land And Improvements,,,148516000.0,
Properties,,,0.0,
Current Assets,13572303000.0,12587200000.0,11635927000.0,10894336000.0
Other Current Assets,257360000.0,158901000.0,31477000.0,207559000.0
Assets Held For Sale Current,6137000.0,6153000.0,5773000.0,
Restricted Cash,,,451000.0,
Prepaid Assets,,,124537000.0,
Inventory,2247902000.0,2070460000.0,1863851000.0,1740726000.0
Finished Goods,,,658091000.0,
Work In Process,,,587872000.0,
Raw Materials,,,617888000.0,
Other Receivables,,,172084000.0,
Accounts Receivable,2664374000.0,3676849000.0,3336101000.0,3247508000.0
Allowance For Doubtful Accounts Receivable,,,-52108000.0,
Gross Accounts Receivable,,,3388209000.0,
Cash Cash Equivalents And Short Term Investments,8396530000.0,6674837000.0,6101653000.0,5698543000.0
Other Short Term Investments,103938000.0,105110000.0,122581000.0,152079000.0
Cash And Cash Equivalents,8292592000.0,6569727000.0,6101653000.0,5546464000.0
Cash Equivalents,,,4340000000.0,
Cash Financial,,,1761653000.0,
