,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,4060000.0,4060000.0,4060000.0
Share Issued,4060000.0,4060000.0,4060000.0
Net Debt,3160752.0,,
Total Debt,60013347.0,,24139611.0
Tangible Book Value,51152811.0,,71559819.0
Invested Capital,86137061.0,,89414141.0
Working Capital,12929236.0,,34436350.0
Net Tangible Assets,51152811.0,,71559819.0
Capital Lease Obligations,25679797.0,,6960066.0
Common Stock Equity,51803511.0,,72234596.0
Total Capitalization,62587400.0,,76011359.0
Total Equity Gross Minority Interest,51803511.0,,72234596.0
Stockholders Equity,51803511.0,,72234596.0
Gains Losses Not Affecting Retained Earnings,2523298.0,,3138961.0
Other Equity Adjustments,2523298.0,,3138961.0
Retained Earnings,-19377456.0,,437966.0
Additional Paid In Capital,68647780.0,,68647780.0
Capital Stock,9889.0,,9889.0
Common Stock,9889.0,,9889.0
Total Liabilities Net Minority Interest,120525230.0,,91693931.0
Total Non Current Liabilities Net Minority Interest,31357100.0,,8623466.0
Non Current Deferred Liabilities,6526.0,,156926.0
Long Term Debt And Capital Lease Obligation,31350574.0,,8466540.0
Long Term Capital Lease Obligation,20566685.0,,4689777.0
Long Term Debt,10783889.0,,3776763.0
Current Liabilities,89168130.0,,83070465.0
Current Deferred Liabilities,2465889.0,,9074779.0
Current Deferred Revenue,2465889.0,,9074779.0
Current Debt And Capital Lease Obligation,28662773.0,,15673071.0
Current Capital Lease Obligation,5113112.0,,2270289.0
Current Debt,23549661.0,,13402782.0
Other Current Borrowings,23549661.0,,13402782.0
Payables And Accrued Expenses,58039468.0,,58322615.0
Current Accrued Expenses,1003369.0,,630462.0
Payables,57036099.0,,57692153.0
Other Payable,2634049.0,,2988972.0
Dueto Related Parties Current,100000.0,,246185.0
Total Tax Payable,341424.0,,64091.0
Accounts Payable,53960626.0,,54392905.0
Total Assets,172328741.0,,163928527.0
Total Non Current Assets,70231375.0,,46421712.0
Non Current Prepaid Assets,9804167.0,,14191667.0
Non Current Deferred Assets,1495836.0,,1870819.0
Non Current Deferred Taxes Assets,1495836.0,,1870819.0
Investments And Advances,1559502.0,,0.0
Other Investments,1559502.0,,0.0
Goodwill And Other Intangible Assets,650700.0,,674777.0
Other Intangible Assets,650700.0,,674777.0
Net PPE,56721170.0,,29684449.0
Accumulated Depreciation,-39457565.0,,-38080729.0
Gross PPE,96178735.0,,67765178.0
Construction In Progress,4056564.0,,23599.0
Other Properties,25679797.0,,6960066.0
Machinery Furniture Equipment,66442374.0,,60781513.0
Current Assets,102097366.0,,117506815.0
Other Current Assets,99930.0,,627725.0
Current Deferred Assets,,,0.0
Restricted Cash,15023582.0,,14545723.0
Prepaid Assets,9594743.0,,18170440.0
Inventory,12849149.0,,11757137.0
Finished Goods,5326310.0,,2667612.0
Work In Process,3749895.0,,7071984.0
Raw Materials,3772944.0,,2017541.0
Receivables,33357164.0,,26213133.0
Duefrom Related Parties Current,,,0.0
Taxes Receivable,4100393.0,,2475923.0
Accounts Receivable,29256771.0,,23737210.0
Allowance For Doubtful Accounts Receivable,-597128.0,,-491148.0
Gross Accounts Receivable,29853899.0,,24228358.0
Cash Cash Equivalents And Short Term Investments,31172798.0,,46192657.0
Other Short Term Investments,0.0,,1555526.0
Cash And Cash Equivalents,31172798.0,,44637131.0
