,2025-11-30,2025-05-31,2024-11-30
Ordinary Shares Number,119042405.0,119042405.0,118830396.0
Share Issued,119042405.0,119042405.0,118830396.0
Net Debt,39552000.0,20894000.0,62853000.0
Total Debt,55362000.0,35793000.0,77440000.0
Tangible Book Value,166628000.0,165820000.0,154099000.0
Invested Capital,222177000.0,201537000.0,231926000.0
Working Capital,215621000.0,174916000.0,167221000.0
Net Tangible Assets,166628000.0,165820000.0,154099000.0
Capital Lease Obligations,5119000.0,5511000.0,5178000.0
Common Stock Equity,171934000.0,171255000.0,159664000.0
Total Capitalization,221818000.0,171255000.0,159664000.0
Total Equity Gross Minority Interest,171934000.0,171255000.0,159664000.0
Stockholders Equity,171934000.0,171255000.0,159664000.0
Retained Earnings,93041000.0,92362000.0,80772000.0
Additional Paid In Capital,78744000.0,78744000.0,78744000.0
Capital Stock,149000.0,149000.0,148000.0
Common Stock,149000.0,149000.0,148000.0
Total Liabilities Net Minority Interest,145507000.0,128382000.0,158351000.0
Total Non Current Liabilities Net Minority Interest,68523000.0,28922000.0,26568000.0
Other Non Current Liabilities,9250000.0,16491000.0,16881000.0
Non Current Accrued Expenses,,1550000.0,
Non Current Deferred Taxes Liabilities,2192000.0,2866000.0,2932000.0
Long Term Debt And Capital Lease Obligation,53752000.0,4160000.0,3861000.0
Long Term Capital Lease Obligation,3868000.0,4160000.0,3861000.0
Long Term Debt,49884000.0,,0.0
Long Term Provisions,3329000.0,3855000.0,2894000.0
Current Liabilities,76984000.0,99460000.0,131783000.0
Other Current Liabilities,14401000.0,7469000.0,7404000.0
Current Debt And Capital Lease Obligation,1610000.0,31633000.0,73579000.0
Current Capital Lease Obligation,1251000.0,1351000.0,1317000.0
Current Debt,359000.0,30282000.0,72262000.0
Current Provisions,1607000.0,1871000.0,1390000.0
Payables,59366000.0,27888000.0,49410000.0
Other Payable,,236000.0,
Total Tax Payable,937000.0,4064000.0,775000.0
Accounts Payable,58429000.0,23588000.0,48635000.0
Total Assets,317441000.0,299637000.0,318015000.0
Total Non Current Assets,24836000.0,25261000.0,19011000.0
Non Current Prepaid Assets,,2370000.0,
Non Current Deferred Taxes Assets,1852000.0,1852000.0,1787000.0
Goodwill And Other Intangible Assets,5306000.0,5435000.0,5565000.0
Other Intangible Assets,,3453000.0,
Goodwill,,1982000.0,
Net PPE,6391000.0,6783000.0,6659000.0
Accumulated Depreciation,,-11781000.0,
Gross PPE,,18564000.0,
Machinery Furniture Equipment,,12493000.0,
Buildings And Improvements,,5227000.0,
Land And Improvements,,844000.0,
Properties,,0.0,
Current Assets,292605000.0,274376000.0,299004000.0
Inventory,236469000.0,223892000.0,260368000.0
Work In Process,,223892000.0,
Other Receivables,,16981000.0,
Accounts Receivable,45445000.0,24115000.0,29227000.0
Cash Cash Equivalents And Short Term Investments,10691000.0,9388000.0,9409000.0
Cash And Cash Equivalents,10691000.0,9388000.0,9409000.0
Cash Financial,,9388000.0,
