,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,1562082.0,77570.0,68570.0
Share Issued,1562082.0,77570.0,68570.0
Total Debt,6696000.0,9301000.0,11319000.0
Tangible Book Value,334949000.0,283327000.0,264462000.0
Invested Capital,376118000.0,331185000.0,315953000.0
Working Capital,334796000.0,284496000.0,265667000.0
Net Tangible Assets,334949000.0,283327000.0,264462000.0
Capital Lease Obligations,261000.0,227000.0,359000.0
Common Stock Equity,369683000.0,322111000.0,304993000.0
Total Capitalization,369683000.0,323507000.0,306363000.0
Total Equity Gross Minority Interest,369768000.0,322191000.0,305070000.0
Minority Interest,85000.0,80000.0,77000.0
Stockholders Equity,369683000.0,322111000.0,304993000.0
Gains Losses Not Affecting Retained Earnings,-1030000.0,-9696000.0,-15630000.0
Other Equity Adjustments,-1030000.0,-9696000.0,-15630000.0
Retained Earnings,232745000.0,218312000.0,207128000.0
Additional Paid In Capital,137734000.0,113485000.0,113485000.0
Capital Stock,234000.0,10000.0,10000.0
Common Stock,234000.0,10000.0,10000.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,31923000.0,40558000.0,41521000.0
Total Non Current Liabilities Net Minority Interest,134000.0,1516000.0,1620000.0
Long Term Debt And Capital Lease Obligation,134000.0,1516000.0,1620000.0
Long Term Capital Lease Obligation,134000.0,120000.0,250000.0
Long Term Debt,,1396000.0,1370000.0
Current Liabilities,31789000.0,39042000.0,39901000.0
Other Current Liabilities,,,10000.0
Current Deferred Liabilities,1000.0,31000.0,27000.0
Current Deferred Revenue,1000.0,31000.0,27000.0
Current Debt And Capital Lease Obligation,6562000.0,7785000.0,9699000.0
Current Capital Lease Obligation,127000.0,107000.0,109000.0
Current Debt,6435000.0,7678000.0,9590000.0
Line Of Credit,6435000.0,7678000.0,9590000.0
Payables And Accrued Expenses,25226000.0,31226000.0,30165000.0
Payables,25226000.0,31226000.0,30165000.0
Other Payable,444000.0,1986000.0,1931000.0
Dueto Related Parties Current,2753000.0,1100000.0,1100000.0
Total Tax Payable,19285000.0,26661000.0,25095000.0
Income Tax Payable,2495000.0,2433000.0,2388000.0
Accounts Payable,2744000.0,1479000.0,2039000.0
Total Assets,401691000.0,362749000.0,346591000.0
Total Non Current Assets,35106000.0,39211000.0,41023000.0
Other Non Current Assets,94000.0,16000.0,16000.0
Non Current Deferred Assets,0.0,77000.0,72000.0
Non Current Deferred Taxes Assets,0.0,77000.0,72000.0
Goodwill And Other Intangible Assets,34734000.0,38784000.0,40531000.0
Net PPE,278000.0,334000.0,404000.0
Accumulated Depreciation,-812000.0,-800000.0,-979000.0
Gross PPE,1090000.0,1134000.0,1383000.0
Leases,185000.0,181000.0,177000.0
Other Properties,581000.0,568000.0,767000.0
Machinery Furniture Equipment,63000.0,69000.0,68000.0
Buildings And Improvements,261000.0,316000.0,371000.0
Properties,0.0,0.0,0.0
Current Assets,366585000.0,323538000.0,305568000.0
Other Current Assets,4000.0,37000.0,38000.0
Restricted Cash,,,0.0
Prepaid Assets,44818000.0,36272000.0,32992000.0
Receivables,79681000.0,84001000.0,74878000.0
Receivables Adjustments Allowances,0.0,-2237000.0,-2196000.0
Accounts Receivable,79681000.0,86238000.0,77074000.0
Allowance For Doubtful Accounts Receivable,0.0,-872000.0,-779000.0
Gross Accounts Receivable,79681000.0,87110000.0,77853000.0
Cash Cash Equivalents And Short Term Investments,242082000.0,203228000.0,197660000.0
Cash And Cash Equivalents,242082000.0,203228000.0,197660000.0
