,2025-09-30
Treasury Shares Number,0.0
Ordinary Shares Number,5738902.0
Share Issued,5738902.0
Tangible Book Value,-1151000.0
Invested Capital,9587000.0
Working Capital,-2520000.0
Net Tangible Assets,-1151000.0
Common Stock Equity,9587000.0
Total Capitalization,9587000.0
Total Equity Gross Minority Interest,8883000.0
Minority Interest,-704000.0
Stockholders Equity,9587000.0
Other Equity Interest,24564000.0
Gains Losses Not Affecting Retained Earnings,26000.0
Other Equity Adjustments,26000.0
Retained Earnings,-256595000.0
Capital Stock,241592000.0
Common Stock,241592000.0
Total Liabilities Net Minority Interest,21705000.0
Total Non Current Liabilities Net Minority Interest,166000.0
Derivative Product Liabilities,166000.0
Current Liabilities,21539000.0
Other Current Liabilities,17940000.0
Payables And Accrued Expenses,3599000.0
Current Accrued Expenses,1304000.0
Payables,2295000.0
Other Payable,532000.0
Dueto Related Parties Current,166000.0
Accounts Payable,1597000.0
Total Assets,30588000.0
Total Non Current Assets,11569000.0
Other Non Current Assets,629000.0
Investments And Advances,202000.0
Long Term Equity Investment,202000.0
Investments In Other Ventures Under Equity Method,202000.0
Goodwill And Other Intangible Assets,10738000.0
Other Intangible Assets,10738000.0
Current Assets,19019000.0
Prepaid Assets,752000.0
Receivables,15011000.0
Other Receivables,15011000.0
Cash Cash Equivalents And Short Term Investments,3256000.0
Other Short Term Investments,3073000.0
Cash And Cash Equivalents,183000.0
