,2025-09-30,2025-03-31
Treasury Shares Number,8485195.0,8524894.0
Ordinary Shares Number,306520884.0,306215078.0
Share Issued,315006079.0,314739972.0
Total Debt,22800000.0,120300000.0
Tangible Book Value,156600000.0,-39400000.0
Invested Capital,209800000.0,301700000.0
Working Capital,154300000.0,42500000.0
Net Tangible Assets,156600000.0,-39400000.0
Capital Lease Obligations,19500000.0,25400000.0
Common Stock Equity,206500000.0,206800000.0
Total Capitalization,209800000.0,289500000.0
Total Equity Gross Minority Interest,206500000.0,206800000.0
Stockholders Equity,206500000.0,206800000.0
Retained Earnings,-85000000.0,-83200000.0
Additional Paid In Capital,224700000.0,224400000.0
Capital Stock,3100000.0,3100000.0
Common Stock,3100000.0,3100000.0
Total Liabilities Net Minority Interest,136800000.0,231400000.0
Total Non Current Liabilities Net Minority Interest,23000000.0,
Other Non Current Liabilities,,4600000.0
Non Current Deferred Revenue,2200000.0,
Non Current Deferred Taxes Liabilities,200000.0,400000.0
Long Term Debt And Capital Lease Obligation,18700000.0,102300000.0
Long Term Capital Lease Obligation,15400000.0,19600000.0
Long Term Debt,3300000.0,82700000.0
Long Term Provisions,1900000.0,
Current Liabilities,113800000.0,121700000.0
Current Debt And Capital Lease Obligation,4100000.0,18000000.0
Current Capital Lease Obligation,4100000.0,5800000.0
Current Debt,0.0,12200000.0
Current Provisions,300000.0,2000000.0
Payables,10900000.0,49100000.0
Other Payable,5500000.0,
Total Tax Payable,800000.0,900000.0
Accounts Payable,4600000.0,48200000.0
Total Assets,343300000.0,438200000.0
Total Non Current Assets,75200000.0,274000000.0
Non Current Deferred Taxes Assets,1000000.0,1000000.0
Goodwill And Other Intangible Assets,49900000.0,246200000.0
Other Intangible Assets,3600000.0,86900000.0
Goodwill,46300000.0,
Net PPE,24300000.0,26800000.0
Accumulated Depreciation,-70800000.0,
Gross PPE,95100000.0,26800000.0
Construction In Progress,1600000.0,
Other Properties,,26800000.0
Machinery Furniture Equipment,57900000.0,
Buildings And Improvements,35600000.0,
Properties,0.0,
Current Assets,268100000.0,164200000.0
Hedging Assets Current,900000.0,
Assets Held For Sale Current,198000000.0,0.0
Prepaid Assets,9700000.0,
Inventory,,0.0
Other Receivables,27400000.0,24800000.0
Taxes Receivable,5500000.0,3600000.0
Accounts Receivable,14100000.0,40600000.0
Allowance For Doubtful Accounts Receivable,-700000.0,
Gross Accounts Receivable,14800000.0,
Cash Cash Equivalents And Short Term Investments,12500000.0,95200000.0
Cash And Cash Equivalents,12500000.0,95200000.0
Cash Financial,12500000.0,
