,2026-03-31
Ordinary Shares Number,268437788.0
Share Issued,268437788.0
Total Debt,49364000.0
Tangible Book Value,-190697000.0
Invested Capital,7660625000.0
Working Capital,-11026000.0
Net Tangible Assets,-190697000.0
Capital Lease Obligations,49364000.0
Common Stock Equity,7660625000.0
Total Capitalization,7660625000.0
Total Equity Gross Minority Interest,7660625000.0
Stockholders Equity,7660625000.0
Other Equity Interest,7740186000.0
Gains Losses Not Affecting Retained Earnings,-79561000.0
Other Equity Adjustments,-79561000.0
Total Liabilities Net Minority Interest,973238000.0
Total Non Current Liabilities Net Minority Interest,339473000.0
Other Non Current Liabilities,36241000.0
Non Current Deferred Liabilities,268496000.0
Non Current Deferred Taxes Liabilities,268496000.0
Long Term Debt And Capital Lease Obligation,34736000.0
Long Term Capital Lease Obligation,34736000.0
Current Liabilities,633765000.0
Other Current Liabilities,4290000.0
Current Deferred Liabilities,415371000.0
Current Deferred Revenue,415371000.0
Current Debt And Capital Lease Obligation,14628000.0
Current Capital Lease Obligation,14628000.0
Pensionand Other Post Retirement Benefit Plans Current,100193000.0
Current Provisions,5703000.0
Payables And Accrued Expenses,93580000.0
Current Accrued Expenses,48866000.0
Payables,44714000.0
Total Tax Payable,12207000.0
Accounts Payable,32507000.0
Total Assets,8633863000.0
Total Non Current Assets,8011124000.0
Other Non Current Assets,29140000.0
Non Current Deferred Assets,29801000.0
Non Current Deferred Taxes Assets,29801000.0
Goodwill And Other Intangible Assets,7851322000.0
Other Intangible Assets,1635141000.0
Goodwill,6216181000.0
Net PPE,100861000.0
Gross PPE,100861000.0
Other Properties,100861000.0
Current Assets,622739000.0
Other Current Assets,16439000.0
Prepaid Assets,84919000.0
Receivables,345875000.0
Receivables Adjustments Allowances,-20745000.0
Other Receivables,85163000.0
Accounts Receivable,281457000.0
Cash Cash Equivalents And Short Term Investments,175506000.0
Cash And Cash Equivalents,175506000.0
