,2025-09-30,2025-03-31
Ordinary Shares Number,23012500.0,22750000.0
Share Issued,23012500.0,22750000.0
Total Debt,12985726.0,16018975.0
Tangible Book Value,40418795.0,11041899.0
Invested Capital,49161620.0,21638654.0
Working Capital,31900571.0,5364918.0
Net Tangible Assets,40418795.0,11041899.0
Capital Lease Obligations,4242901.0,5422220.0
Common Stock Equity,40418795.0,11041899.0
Total Capitalization,40418795.0,11041899.0
Total Equity Gross Minority Interest,40418795.0,11041899.0
Stockholders Equity,40418795.0,11041899.0
Gains Losses Not Affecting Retained Earnings,0.0,
Retained Earnings,-9380214.0,11025482.0
Additional Paid In Capital,49781115.0,100.0
Capital Stock,17894.0,16317.0
Common Stock,17894.0,16317.0
Total Liabilities Net Minority Interest,19870173.0,23972518.0
Total Non Current Liabilities Net Minority Interest,2027524.0,2963131.0
Long Term Debt And Capital Lease Obligation,2027524.0,2963131.0
Long Term Capital Lease Obligation,2027524.0,2963131.0
Current Liabilities,17842649.0,21009387.0
Current Deferred Liabilities,2565655.0,
Current Deferred Revenue,2565655.0,
Current Debt And Capital Lease Obligation,10958202.0,13055844.0
Current Capital Lease Obligation,2215377.0,2459089.0
Current Debt,8742825.0,10596755.0
Line Of Credit,8742825.0,10596755.0
Payables And Accrued Expenses,4318792.0,7953543.0
Current Accrued Expenses,2224964.0,6500402.0
Payables,2093828.0,1453141.0
Other Payable,2093828.0,1453141.0
Total Tax Payable,0.0,0.0
Total Assets,60288968.0,35014417.0
Total Non Current Assets,10545748.0,8640112.0
Non Current Prepaid Assets,554728.0,554728.0
Non Current Deferred Assets,3717034.0,593904.0
Non Current Deferred Taxes Assets,3717034.0,593904.0
Net PPE,6273986.0,7491480.0
Accumulated Depreciation,-8345903.0,-7244138.0
Gross PPE,14619889.0,14735618.0
Leases,5761720.0,5172100.0
Other Properties,2257410.0,2962759.0
Machinery Furniture Equipment,6600759.0,6600759.0
Properties,0.0,0.0
Current Assets,49743220.0,26374305.0
Current Deferred Assets,,3680675.0
Prepaid Assets,5560023.0,3242221.0
Inventory,6333175.0,6034908.0
Finished Goods,6333175.0,6034908.0
Receivables,1892807.0,1892807.0
Taxes Receivable,1892807.0,1892807.0
Cash Cash Equivalents And Short Term Investments,35957215.0,11523694.0
Cash And Cash Equivalents,35957215.0,11523694.0
Cash Financial,35957215.0,11523694.0
