,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,10400980.0,6870980.0,5600788.0
Share Issued,10400980.0,6870980.0,5600788.0
Net Debt,3487454.0,1630033.0,5855331.0
Total Debt,12370495.0,12840633.0,15396254.0
Tangible Book Value,2224025.0,1680911.0,-2221469.0
Invested Capital,9501610.0,9171444.0,7351766.0
Working Capital,-2297733.0,-1925844.0,-4576521.0
Net Tangible Assets,2224025.0,1680911.0,-2221469.0
Capital Lease Obligations,7556502.0,7813692.0,8299887.0
Common Stock Equity,4687617.0,4144503.0,255399.0
Total Capitalization,7237864.0,6710190.0,4207500.0
Total Equity Gross Minority Interest,4687617.0,4144503.0,255399.0
Stockholders Equity,4687617.0,4144503.0,255399.0
Other Equity Interest,-750000.0,-750000.0,
Retained Earnings,-14652424.0,-13431528.0,-12006642.0
Additional Paid In Capital,20089781.0,18325869.0,12261901.0
Capital Stock,260.0,162.0,140.0
Common Stock,260.0,162.0,140.0
Total Liabilities Net Minority Interest,14379793.0,14841837.0,17317867.0
Total Non Current Liabilities Net Minority Interest,9022494.0,9318165.0,11276778.0
Other Non Current Liabilities,,10.0,
Long Term Debt And Capital Lease Obligation,9022494.0,9318155.0,11276778.0
Long Term Capital Lease Obligation,6472247.0,6752468.0,7324677.0
Long Term Debt,2550247.0,2565687.0,3952101.0
Current Liabilities,5357299.0,5523672.0,6041089.0
Current Debt And Capital Lease Obligation,3348001.0,3522478.0,4119476.0
Current Capital Lease Obligation,1084255.0,1061224.0,975210.0
Current Debt,2263746.0,2461254.0,3144266.0
Other Current Borrowings,1263746.0,1457922.0,2109984.0
Line Of Credit,1000000.0,1003332.0,1034282.0
Payables And Accrued Expenses,2009298.0,2001194.0,1921613.0
Payables,2009298.0,2001194.0,1921613.0
Other Payable,1041557.0,1041557.0,1078291.0
Accounts Payable,967741.0,959637.0,843322.0
Total Assets,19067410.0,18986340.0,17573266.0
Total Non Current Assets,16007844.0,15388512.0,16108698.0
Other Non Current Assets,743434.0,563677.0,452889.0
Non Current Prepaid Assets,,175794.0,182531.0
Non Current Note Receivables,,100300.0,100300.0
Non Current Accounts Receivable,,72000.0,300270.0
Investments And Advances,1100000.0,,
Goodwill And Other Intangible Assets,2463592.0,2463592.0,2476868.0
Other Intangible Assets,477947.0,477947.0,491223.0
Goodwill,1985645.0,1985645.0,1985645.0
Net PPE,11700818.0,12013149.0,12595840.0
Accumulated Depreciation,-2946678.0,-2695377.0,-2518330.0
Gross PPE,14647496.0,14708526.0,15114170.0
Leases,5453739.0,5236539.0,5401651.0
Other Properties,6749115.0,7027345.0,7465611.0
Machinery Furniture Equipment,2444642.0,2444642.0,2246908.0
Properties,0.0,0.0,0.0
Current Assets,3059566.0,3597828.0,1464568.0
Inventory,231461.0,143181.0,139422.0
Receivables,1501566.0,57739.0,84110.0
Loans Receivable,1400000.0,,
Accounts Receivable,101566.0,57739.0,84110.0
Cash Cash Equivalents And Short Term Investments,1326539.0,3396908.0,1241036.0
Cash And Cash Equivalents,1326539.0,3396908.0,1241036.0
Cash Financial,1326539.0,3396908.0,1241036.0
