,2026-03-31
Ordinary Shares Number,2248752.0
Share Issued,2248752.0
Net Debt,5201868.0
Total Debt,8454166.0
Tangible Book Value,-4148052.0
Invested Capital,1539457.0
Working Capital,-635133.0
Net Tangible Assets,-3515165.0
Capital Lease Obligations,2766657.0
Common Stock Equity,-4148052.0
Preferred Stock Equity,632887.0
Total Capitalization,1802950.0
Total Equity Gross Minority Interest,-3515165.0
Stockholders Equity,-3515165.0
Retained Earnings,-5407554.0
Additional Paid In Capital,1259502.0
Capital Stock,632887.0
Common Stock,0.0
Preferred Stock,632887.0
Total Liabilities Net Minority Interest,9571460.0
Total Non Current Liabilities Net Minority Interest,7315822.0
Long Term Debt And Capital Lease Obligation,7315822.0
Long Term Capital Lease Obligation,1997707.0
Long Term Debt,5318115.0
Current Liabilities,2255638.0
Current Debt And Capital Lease Obligation,1138344.0
Current Capital Lease Obligation,768950.0
Current Debt,369394.0
Other Current Borrowings,282183.0
Current Notes Payable,87211.0
Payables And Accrued Expenses,1117294.0
Current Accrued Expenses,365816.0
Payables,751478.0
Accounts Payable,751478.0
Total Assets,6056295.0
Total Non Current Assets,4435790.0
Other Non Current Assets,90026.0
Net PPE,4345764.0
Accumulated Depreciation,-1011433.0
Gross PPE,5357197.0
Leases,1485350.0
Other Properties,3497837.0
Machinery Furniture Equipment,374010.0
Properties,0.0
Current Assets,1620505.0
Other Current Assets,299715.0
Inventory,798629.0
Receivables,36520.0
Accounts Receivable,36520.0
Cash Cash Equivalents And Short Term Investments,485641.0
Cash And Cash Equivalents,485641.0
Cash Financial,485641.0
