,2026-03-31,2025-06-30
Ordinary Shares Number,141481586.0,144527794.0
Share Issued,141481586.0,144527794.0
Net Debt,1759000000.0,2250000000.0
Total Debt,2952000000.0,2750000000.0
Tangible Book Value,-386000000.0,-740000000.0
Invested Capital,10986000000.0,11077000000.0
Working Capital,1510000000.0,1214000000.0
Net Tangible Assets,-386000000.0,-740000000.0
Common Stock Equity,8034000000.0,8327000000.0
Total Capitalization,10903000000.0,11077000000.0
Total Equity Gross Minority Interest,8144000000.0,8447000000.0
Minority Interest,110000000.0,120000000.0
Stockholders Equity,8034000000.0,8327000000.0
Gains Losses Not Affecting Retained Earnings,-4000000.0,-5000000.0
Other Equity Adjustments,-4000000.0,-5000000.0
Retained Earnings,231000000.0,
Additional Paid In Capital,7806000000.0,8332000000.0
Capital Stock,1000000.0,0.0
Common Stock,1000000.0,0.0
Total Liabilities Net Minority Interest,4362000000.0,3835000000.0
Total Non Current Liabilities Net Minority Interest,3222000000.0,3192000000.0
Other Non Current Liabilities,238000000.0,91000000.0
Non Current Deferred Liabilities,115000000.0,351000000.0
Non Current Deferred Taxes Liabilities,115000000.0,351000000.0
Long Term Debt And Capital Lease Obligation,2869000000.0,2750000000.0
Long Term Debt,2869000000.0,2750000000.0
Current Liabilities,1140000000.0,643000000.0
Other Current Liabilities,-1000000.0,
Current Deferred Liabilities,77000000.0,166000000.0
Current Deferred Revenue,77000000.0,166000000.0
Current Debt And Capital Lease Obligation,83000000.0,
Current Debt,83000000.0,
Pensionand Other Post Retirement Benefit Plans Current,84000000.0,61000000.0
Payables And Accrued Expenses,897000000.0,416000000.0
Current Accrued Expenses,614000000.0,327000000.0
Payables,283000000.0,89000000.0
Accounts Payable,283000000.0,89000000.0
Total Assets,12506000000.0,12282000000.0
Total Non Current Assets,9856000000.0,10425000000.0
Other Non Current Assets,771000000.0,693000000.0
Investments And Advances,241000000.0,254000000.0
Goodwill And Other Intangible Assets,8420000000.0,9067000000.0
Other Intangible Assets,713000000.0,1335000000.0
Goodwill,7707000000.0,7732000000.0
Net PPE,424000000.0,411000000.0
Accumulated Depreciation,-611000000.0,
Gross PPE,1035000000.0,411000000.0
Other Properties,,411000000.0
Current Assets,2650000000.0,1857000000.0
Other Current Assets,83000000.0,92000000.0
Assets Held For Sale Current,181000000.0,
Restricted Cash,0.0,
Receivables,1193000000.0,1265000000.0
Accounts Receivable,1193000000.0,1265000000.0
Allowance For Doubtful Accounts Receivable,-2000000.0,-8000000.0
Gross Accounts Receivable,1195000000.0,1273000000.0
Cash Cash Equivalents And Short Term Investments,1193000000.0,500000000.0
Cash And Cash Equivalents,1193000000.0,500000000.0
