,2025-03-31
Ordinary Shares Number,4410559.0
Share Issued,4410559.0
Total Debt,132250.0
Tangible Book Value,10711633.0
Invested Capital,10711633.0
Working Capital,10563929.0
Net Tangible Assets,10711633.0
Capital Lease Obligations,132250.0
Common Stock Equity,10711633.0
Total Capitalization,10711633.0
Total Equity Gross Minority Interest,11769553.0
Minority Interest,1057920.0
Stockholders Equity,10711633.0
Gains Losses Not Affecting Retained Earnings,-368844.0
Other Equity Adjustments,-368844.0
Retained Earnings,5897255.0
Additional Paid In Capital,5139116.0
Capital Stock,44106.0
Common Stock,44106.0
Total Liabilities Net Minority Interest,3678705.0
Total Non Current Liabilities Net Minority Interest,14539.0
Other Non Current Liabilities,14880.0
Long Term Debt And Capital Lease Obligation,14539.0
Long Term Capital Lease Obligation,14539.0
Current Liabilities,3664166.0
Current Deferred Liabilities,1636802.0
Current Deferred Revenue,1636802.0
Current Debt And Capital Lease Obligation,117711.0
Current Capital Lease Obligation,117711.0
Payables And Accrued Expenses,1909653.0
Current Accrued Expenses,156756.0
Payables,1752897.0
Other Payable,107013.0
Dueto Related Parties Current,478278.0
Total Tax Payable,1013350.0
Income Tax Payable,992973.0
Accounts Payable,154256.0
Total Assets,15448258.0
Total Non Current Assets,1220163.0
Non Current Prepaid Assets,44228.0
Non Current Deferred Assets,261251.0
Non Current Deferred Taxes Assets,261251.0
Non Current Note Receivables,224588.0
Investments And Advances,137804.0
Long Term Equity Investment,137804.0
Goodwill And Other Intangible Assets,0.0
Net PPE,552292.0
Accumulated Depreciation,-782721.0
Gross PPE,1335013.0
Leases,159714.0
Other Properties,267076.0
Machinery Furniture Equipment,449275.0
Buildings And Improvements,458948.0
Properties,0.0
Current Assets,14228095.0
Other Current Assets,94948.0
Receivables,4001755.0
Other Receivables,966687.0
Loans Receivable,2317359.0
Accounts Receivable,717709.0
Allowance For Doubtful Accounts Receivable,-599322.0
Gross Accounts Receivable,1317031.0
Cash Cash Equivalents And Short Term Investments,10131392.0
Cash And Cash Equivalents,10131392.0
Cash Financial,10131392.0
