,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,176221572.0,110700803.0,110700803.0
Share Issued,176221572.0,110700803.0,110700803.0
Net Debt,16526000.0,,
Total Debt,26376000.0,44567000.0,27226000.0
Tangible Book Value,-8341000.0,7892000.0,25445000.0
Invested Capital,16260000.0,51974000.0,51815000.0
Working Capital,-14736000.0,1610000.0,18704000.0
Net Tangible Assets,-8341000.0,7892000.0,25445000.0
Capital Lease Obligations,1794000.0,514000.0,896000.0
Common Stock Equity,-8322000.0,7921000.0,25485000.0
Total Capitalization,-8322000.0,7921000.0,25485000.0
Total Equity Gross Minority Interest,-8322000.0,7921000.0,25485000.0
Stockholders Equity,-8322000.0,7921000.0,25485000.0
Other Equity Interest,21592000.0,20843000.0,20311000.0
Gains Losses Not Affecting Retained Earnings,-4346000.0,-4453000.0,-4535000.0
Foreign Currency Translation Adjustments,-4346000.0,-4453000.0,-4535000.0
Retained Earnings,-464846000.0,-447653000.0,-429318000.0
Additional Paid In Capital,439266000.0,439173000.0,439016000.0
Capital Stock,12000.0,11000.0,11000.0
Common Stock,12000.0,11000.0,11000.0
Preferred Stock,,,0.0
Total Liabilities Net Minority Interest,42755000.0,64124000.0,45785000.0
Total Non Current Liabilities Net Minority Interest,1127000.0,257000.0,425000.0
Non Current Deferred Liabilities,,,0.0
Non Current Deferred Revenue,,,0.0
Long Term Debt And Capital Lease Obligation,1127000.0,257000.0,425000.0
Long Term Capital Lease Obligation,1127000.0,257000.0,425000.0
Current Liabilities,41628000.0,63867000.0,45360000.0
Current Deferred Liabilities,0.0,5000000.0,5000000.0
Current Deferred Revenue,0.0,5000000.0,5000000.0
Current Debt And Capital Lease Obligation,25249000.0,44310000.0,26801000.0
Current Capital Lease Obligation,667000.0,257000.0,471000.0
Current Debt,24582000.0,44053000.0,26330000.0
Line Of Credit,24582000.0,44053000.0,26330000.0
Payables And Accrued Expenses,16379000.0,14557000.0,13559000.0
Current Accrued Expenses,3144000.0,,3063000.0
Payables,13235000.0,14557000.0,10496000.0
Other Payable,579000.0,4879000.0,275000.0
Total Tax Payable,18000.0,,75000.0
Accounts Payable,12638000.0,9678000.0,10146000.0
Total Assets,34433000.0,72045000.0,71270000.0
Total Non Current Assets,7541000.0,6568000.0,7206000.0
Other Non Current Assets,253000.0,231000.0,304000.0
Non Current Prepaid Assets,,,304000.0
Investments And Advances,4249000.0,4173000.0,4157000.0
Investmentin Financial Assets,,,0.0
Long Term Equity Investment,4249000.0,4173000.0,4157000.0
Goodwill And Other Intangible Assets,19000.0,29000.0,40000.0
Other Intangible Assets,19000.0,29000.0,40000.0
Net PPE,3020000.0,2135000.0,2705000.0
Accumulated Depreciation,-4453000.0,,-3637000.0
Gross PPE,7473000.0,2135000.0,6342000.0
Leases,2466000.0,,2241000.0
Other Properties,262000.0,2135000.0,257000.0
Machinery Furniture Equipment,2944000.0,,2889000.0
Buildings And Improvements,1801000.0,,955000.0
Properties,0.0,,0.0
Current Assets,26892000.0,65477000.0,64064000.0
Restricted Cash,15730000.0,18240000.0,0.0
Prepaid Assets,1716000.0,,1981000.0
Receivables,1390000.0,3092000.0,1174000.0
Other Receivables,907000.0,3078000.0,250000.0
Duefrom Related Parties Current,15000.0,14000.0,14000.0
Taxes Receivable,468000.0,,910000.0
Cash Cash Equivalents And Short Term Investments,8056000.0,44145000.0,60909000.0
Other Short Term Investments,0.0,7000.0,7000.0
Cash And Cash Equivalents,8056000.0,44138000.0,60902000.0
Cash Financial,8056000.0,,60902000.0
