,2025-12-31,2024-12-31
Treasury Shares Number,138978123.0,
Ordinary Shares Number,1861021877.0,2000000000.0
Share Issued,2000000000.0,2000000000.0
Total Debt,332947.0,640817.0
Tangible Book Value,21010047.0,22386549.0
Invested Capital,21588881.0,25040462.0
Working Capital,17016035.0,17826083.0
Net Tangible Assets,21010047.0,22386549.0
Capital Lease Obligations,332947.0,640817.0
Common Stock Equity,21588881.0,25040462.0
Total Capitalization,21588881.0,25040462.0
Total Equity Gross Minority Interest,21588881.0,25040462.0
Stockholders Equity,21588881.0,25040462.0
Other Equity Interest,3114570.0,3226364.0
Retained Earnings,-17258093.0,-13652035.0
Additional Paid In Capital,36924962.0,36924962.0
Capital Stock,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0
Total Liabilities Net Minority Interest,7771575.0,7765190.0
Total Non Current Liabilities Net Minority Interest,31086.0,267254.0
Long Term Debt And Capital Lease Obligation,31086.0,267254.0
Long Term Capital Lease Obligation,31086.0,267254.0
Current Liabilities,7740489.0,7497936.0
Current Debt And Capital Lease Obligation,301861.0,373563.0
Current Capital Lease Obligation,301861.0,373563.0
Payables,5050349.0,4980252.0
Other Payable,4105094.0,4182223.0
Total Tax Payable,256488.0,165099.0
Accounts Payable,688767.0,632930.0
Total Assets,29360456.0,32805652.0
Total Non Current Assets,4603932.0,7481633.0
Non Current Prepaid Assets,3660743.0,3507557.0
Non Current Deferred Taxes Assets,0.0,152381.0
Investmentin Financial Assets,274553.0,185977.0
Available For Sale Securities,274553.0,185977.0
Long Term Equity Investment,87294.0,53361.0
Investmentsin Associatesat Cost,87294.0,53361.0
Goodwill And Other Intangible Assets,578834.0,2653913.0
Other Intangible Assets,578834.0,2653913.0
Net PPE,2508.0,928444.0
Accumulated Depreciation,-2857036.0,-2276713.0
Gross PPE,2859544.0,3205157.0
Machinery Furniture Equipment,693555.0,659114.0
Buildings And Improvements,2165989.0,2546043.0
Properties,0.0,0.0
Current Assets,24756524.0,25324019.0
Current Deferred Assets,733690.0,530142.0
Prepaid Assets,5290237.0,968954.0
Other Receivables,4147297.0,3853446.0
Accounts Receivable,959534.0,893675.0
Allowance For Doubtful Accounts Receivable,-534125.0,-618372.0
Gross Accounts Receivable,1493659.0,1512047.0
Cash Cash Equivalents And Short Term Investments,13625766.0,19077802.0
Cash And Cash Equivalents,13625766.0,19077802.0
Cash Financial,13625766.0,19077802.0
