,2026-03-31,2025-06-30
Ordinary Shares Number,31850000.0,31850000.0
Share Issued,31850000.0,31850000.0
Net Debt,103933.0,
Total Debt,103933.0,
Tangible Book Value,-90265.0,136.0
Invested Capital,13668.0,136.0
Net Tangible Assets,-90265.0,136.0
Common Stock Equity,-90265.0,136.0
Total Capitalization,13668.0,136.0
Total Equity Gross Minority Interest,-90265.0,136.0
Stockholders Equity,-90265.0,136.0
Retained Earnings,-115265.0,-24864.0
Additional Paid In Capital,24281.0,24281.0
Capital Stock,719.0,719.0
Common Stock,719.0,719.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,215914.0,0.0
Total Non Current Liabilities Net Minority Interest,103933.0,
Long Term Debt And Capital Lease Obligation,103933.0,
Long Term Debt,103933.0,
Current Liabilities,111981.0,
Payables And Accrued Expenses,111981.0,
Current Accrued Expenses,111981.0,
Total Assets,125649.0,136.0
Total Non Current Assets,125649.0,0.0
Non Current Deferred Assets,125649.0,
Current Assets,,136.0
Prepaid Assets,,136.0
