,2026-03-31,2025-08-31
Ordinary Shares Number,35262000.0,30690000.0
Share Issued,35262000.0,30690000.0
Net Debt,,37420.0
Total Debt,,37420.0
Tangible Book Value,269427326.0,8486.0
Invested Capital,269427326.0,45906.0
Working Capital,-8446908.0,-22709.0
Net Tangible Assets,269427326.0,8486.0
Common Stock Equity,269427326.0,8486.0
Total Capitalization,269427326.0,8486.0
Total Equity Gross Minority Interest,269427326.0,8486.0
Stockholders Equity,269427326.0,8486.0
Retained Earnings,-8349264.0,-16514.0
Additional Paid In Capital,0.0,24425.0
Capital Stock,277776590.0,575.0
Common Stock,277776590.0,575.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,9747652.0,47709.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,9747652.0,47709.0
Current Deferred Liabilities,9660000.0,
Current Debt And Capital Lease Obligation,,37420.0
Current Debt,,37420.0
Other Current Borrowings,,37420.0
Payables And Accrued Expenses,87652.0,10289.0
Current Accrued Expenses,87652.0,10289.0
Total Assets,279174978.0,56195.0
Total Non Current Assets,277874234.0,31195.0
Other Non Current Assets,277775824.0,
Non Current Prepaid Assets,98410.0,
Non Current Deferred Assets,0.0,31195.0
Current Assets,1300744.0,25000.0
Prepaid Assets,191119.0,25000.0
Cash Cash Equivalents And Short Term Investments,1109625.0,
Cash And Cash Equivalents,1109625.0,
Cash Financial,1109625.0,
