,2025-06-30
Ordinary Shares Number,267695694.0
Share Issued,267695694.0
Net Debt,586453.0
Total Debt,1238956.0
Tangible Book Value,809273.0
Invested Capital,1925215.0
Working Capital,-594212.0
Net Tangible Assets,809273.0
Capital Lease Obligations,173864.0
Common Stock Equity,860123.0
Total Capitalization,860123.0
Total Equity Gross Minority Interest,860123.0
Stockholders Equity,860123.0
Gains Losses Not Affecting Retained Earnings,1165810.0
Other Equity Adjustments,1165810.0
Retained Earnings,-93403421.0
Capital Stock,93097734.0
Common Stock,93097734.0
Total Liabilities Net Minority Interest,2404307.0
Total Non Current Liabilities Net Minority Interest,678012.0
Other Non Current Liabilities,663910.0
Employee Benefits,14102.0
Non Current Pension And Other Postretirement Benefit Plans,14102.0
Current Liabilities,1726295.0
Other Current Liabilities,17052.0
Current Debt And Capital Lease Obligation,1238956.0
Current Capital Lease Obligation,173864.0
Current Debt,1065092.0
Other Current Borrowings,1065092.0
Pensionand Other Post Retirement Benefit Plans Current,21588.0
Payables And Accrued Expenses,448699.0
Payables,448699.0
Accounts Payable,448699.0
Total Assets,3264430.0
Total Non Current Assets,2132347.0
Investments And Advances,53429.0
Long Term Equity Investment,53429.0
Investmentsin Associatesat Cost,53429.0
Goodwill And Other Intangible Assets,50850.0
Other Intangible Assets,50850.0
Net PPE,2028068.0
Accumulated Depreciation,-6915683.0
Gross PPE,8943751.0
Leases,91984.0
Other Properties,17028.0
Machinery Furniture Equipment,7686504.0
Land And Improvements,1148235.0
Current Assets,1132083.0
Prepaid Assets,48286.0
Receivables,605158.0
Other Receivables,571800.0
Accounts Receivable,33358.0
Cash Cash Equivalents And Short Term Investments,478639.0
Cash And Cash Equivalents,478639.0
Cash Financial,478639.0
