,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Ordinary Shares Number,15713333.0,15713333.0,13683333.0,13683333.0
Share Issued,15713333.0,15713333.0,13683333.0,13683333.0
Net Debt,,,145024.0,16682.0
Total Debt,,,150000.0,16682.0
Tangible Book Value,113459891.0,112619963.0,-56901.0,-13425.0
Invested Capital,113459891.0,112619963.0,93099.0,3257.0
Working Capital,655175.0,804402.0,-330257.0,
Net Tangible Assets,113459891.0,112619963.0,-56901.0,-13425.0
Common Stock Equity,113459891.0,112619963.0,-56901.0,-13425.0
Total Capitalization,113459891.0,112619963.0,-56901.0,-13425.0
Total Equity Gross Minority Interest,113459891.0,112619963.0,-56901.0,-13425.0
Stockholders Equity,113459891.0,112619963.0,-56901.0,-13425.0
Retained Earnings,-3342994.0,-3160334.0,-61901.0,-18425.0
Additional Paid In Capital,0.0,0.0,4617.0,4617.0
Capital Stock,116802885.0,115780297.0,383.0,383.0
Common Stock,116802885.0,115780297.0,383.0,383.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4138445.0,4124850.0,340233.0,77751.0
Total Non Current Liabilities Net Minority Interest,4025000.0,4025000.0,0.0,0.0
Non Current Deferred Liabilities,4025000.0,4025000.0,,
Current Liabilities,113445.0,99850.0,340233.0,77751.0
Current Deferred Liabilities,,0.0,20000.0,0.0
Current Debt And Capital Lease Obligation,,,150000.0,16682.0
Current Debt,,,150000.0,16682.0
Other Current Borrowings,,,150000.0,16682.0
Payables And Accrued Expenses,113445.0,99850.0,170233.0,61069.0
Current Accrued Expenses,75000.0,75000.0,170233.0,61069.0
Payables,38445.0,24850.0,,
Accounts Payable,38445.0,24850.0,,
Total Assets,117598336.0,116744813.0,283332.0,64326.0
Total Non Current Assets,116829716.0,115840561.0,273356.0,64326.0
Other Non Current Assets,116802464.0,115779876.0,,
Non Current Prepaid Assets,27252.0,60685.0,,
Non Current Deferred Assets,,0.0,273356.0,64326.0
Current Assets,768620.0,904252.0,9976.0,
Prepaid Assets,158973.0,90435.0,5000.0,
Cash Cash Equivalents And Short Term Investments,609647.0,813817.0,4976.0,
Cash And Cash Equivalents,609647.0,813817.0,4976.0,
Cash Financial,609647.0,813817.0,4976.0,
