,2025-12-31,2025-06-30
Ordinary Shares Number,2288291.0,746281.0
Share Issued,2288291.0,746281.0
Net Debt,1182000.0,1658000.0
Total Debt,2196000.0,2304000.0
Tangible Book Value,-11962000.0,-8664000.0
Invested Capital,17919000.0,12327000.0
Working Capital,-5759000.0,-9884000.0
Net Tangible Assets,-11962000.0,-8664000.0
Capital Lease Obligations,439000.0,303000.0
Common Stock Equity,16162000.0,10326000.0
Total Capitalization,16162000.0,10402000.0
Total Equity Gross Minority Interest,20505000.0,8117000.0
Minority Interest,4343000.0,-2209000.0
Stockholders Equity,16162000.0,10326000.0
Other Equity Interest,8492000.0,7519000.0
Gains Losses Not Affecting Retained Earnings,6797000.0,27000.0
Other Equity Adjustments,6797000.0,27000.0
Retained Earnings,-239816000.0,-240048000.0
Additional Paid In Capital,240680000.0,242825000.0
Capital Stock,9000.0,3000.0
Common Stock,9000.0,3000.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,15534000.0,19901000.0
Total Non Current Liabilities Net Minority Interest,3348000.0,3122000.0
Other Non Current Liabilities,,1000.0
Dueto Related Parties Non Current,,2867000.0
Tradeand Other Payables Non Current,3067000.0,0.0
Non Current Deferred Liabilities,0.0,
Non Current Deferred Revenue,0.0,
Long Term Debt And Capital Lease Obligation,281000.0,254000.0
Long Term Capital Lease Obligation,281000.0,178000.0
Long Term Debt,,76000.0
Current Liabilities,12186000.0,16779000.0
Other Current Liabilities,181000.0,2193000.0
Current Deferred Liabilities,321000.0,
Current Deferred Revenue,321000.0,
Current Debt And Capital Lease Obligation,1915000.0,2050000.0
Current Capital Lease Obligation,158000.0,125000.0
Current Debt,1757000.0,1925000.0
Other Current Borrowings,1757000.0,1925000.0
Current Provisions,,1827000.0
Payables And Accrued Expenses,9769000.0,10709000.0
Current Accrued Expenses,1098000.0,702000.0
Payables,8671000.0,10007000.0
Other Payable,7038000.0,1882000.0
Dueto Related Parties Current,0.0,5459000.0
Total Tax Payable,258000.0,218000.0
Accounts Payable,1375000.0,2448000.0
Total Assets,36039000.0,28018000.0
Total Non Current Assets,29612000.0,21123000.0
Non Current Prepaid Assets,255000.0,
Non Current Accounts Receivable,,1810000.0
Goodwill And Other Intangible Assets,28124000.0,18990000.0
Other Intangible Assets,21522000.0,
Goodwill,6602000.0,18990000.0
Net PPE,1233000.0,323000.0
Accumulated Depreciation,-1328000.0,-1292000.0
Gross PPE,2561000.0,1615000.0
Construction In Progress,412000.0,14000.0
Other Properties,2150000.0,1600000.0
Current Assets,6427000.0,6895000.0
Other Current Assets,114000.0,1699000.0
Assets Held For Sale Current,0.0,
Prepaid Assets,547000.0,752000.0
Inventory,171000.0,800000.0
Other Inventories,,800000.0
Receivables,5020000.0,3301000.0
Other Receivables,229000.0,47000.0
Taxes Receivable,17000.0,0.0
Accounts Receivable,4774000.0,3259000.0
Cash Cash Equivalents And Short Term Investments,575000.0,343000.0
Cash And Cash Equivalents,575000.0,343000.0
