,2025-03-31,2024-09-30
Treasury Shares Number,5888085.0,4719445.0
Ordinary Shares Number,203583355.0,204751995.0
Share Issued,209471440.0,209471440.0
Net Debt,25046000000.0,26756000000.0
Total Debt,80848000000.0,77243000000.0
Tangible Book Value,175010000000.0,173550000000.0
Invested Capital,256374000000.0,256731000000.0
Working Capital,2672000000.0,14384000000.0
Net Tangible Assets,175010000000.0,173550000000.0
Capital Lease Obligations,5576000000.0,
Common Stock Equity,181102000000.0,179488000000.0
Total Capitalization,250555000000.0,252980000000.0
Total Equity Gross Minority Interest,185929000000.0,184096000000.0
Minority Interest,4827000000.0,4608000000.0
Stockholders Equity,181102000000.0,179488000000.0
Fixed Assets Revaluation Reserve,-2940000000.0,-2939000000.0
Treasury Stock,8342000000.0,4511000000.0
Retained Earnings,167577000000.0,164114000000.0
Additional Paid In Capital,14260000000.0,12562000000.0
Capital Stock,9846000000.0,9846000000.0
Common Stock,9846000000.0,9846000000.0
Total Liabilities Net Minority Interest,190277000000.0,177504000000.0
Total Non Current Liabilities Net Minority Interest,99966000000.0,102912000000.0
Other Non Current Liabilities,6949000000.0,12499000000.0
Non Current Pension And Other Postretirement Benefit Plans,9114000000.0,8264000000.0
Non Current Deferred Taxes Liabilities,1165000000.0,1084000000.0
Long Term Debt And Capital Lease Obligation,74654000000.0,73492000000.0
Long Term Capital Lease Obligation,5201000000.0,
Long Term Debt,69453000000.0,73492000000.0
Long Term Provisions,8084000000.0,7573000000.0
Current Liabilities,90311000000.0,74592000000.0
Other Current Liabilities,28436000000.0,18041000000.0
Current Debt And Capital Lease Obligation,6194000000.0,3751000000.0
Current Capital Lease Obligation,375000000.0,
Current Debt,5819000000.0,3751000000.0
Pensionand Other Post Retirement Benefit Plans Current,3266000000.0,3881000000.0
Current Provisions,252000000.0,160000000.0
Payables,52163000000.0,48759000000.0
Total Tax Payable,5492000000.0,6316000000.0
Accounts Payable,46671000000.0,42443000000.0
Total Assets,376206000000.0,361600000000.0
Total Non Current Assets,283219000000.0,272621000000.0
Other Non Current Assets,3531000000.0,7642000000.0
Defined Pension Benefit,352000000.0,
Non Current Prepaid Assets,25582000000.0,24816000000.0
Non Current Deferred Assets,,0.0
Non Current Deferred Taxes Assets,9824000000.0,8487000000.0
Investmentin Financial Assets,909000000.0,
Available For Sale Securities,909000000.0,
Goodwill And Other Intangible Assets,6092000000.0,5938000000.0
Other Intangible Assets,6092000000.0,
Net PPE,235430000000.0,225738000000.0
Accumulated Depreciation,-116495000000.0,
Gross PPE,351925000000.0,225738000000.0
Construction In Progress,2001000000.0,
Other Properties,5001000000.0,32779000000.0
Machinery Furniture Equipment,59266000000.0,
Buildings And Improvements,187797000000.0,100092000000.0
Land And Improvements,97860000000.0,92867000000.0
Properties,0.0,0.0
Current Assets,92983000000.0,88976000000.0
Other Current Assets,16708000000.0,14330000000.0
Inventory,13317000000.0,12571000000.0
Finished Goods,12815000000.0,12059000000.0
Raw Materials,502000000.0,512000000.0
Accounts Receivable,12732000000.0,11488000000.0
Gross Accounts Receivable,12732000000.0,11488000000.0
Cash Cash Equivalents And Short Term Investments,50226000000.0,50587000000.0
Other Short Term Investments,,100000000.0
Cash And Cash Equivalents,50226000000.0,50487000000.0
