,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,326653609.0,233959013.0,229145429.0
Share Issued,326653609.0,233959013.0,
Total Debt,,71855.0,
Tangible Book Value,13076439.0,8069055.0,10339516.0
Invested Capital,13076439.0,8069055.0,10339516.0
Working Capital,13068902.0,8049016.0,10026615.0
Net Tangible Assets,13076439.0,8069055.0,10339516.0
Capital Lease Obligations,,71855.0,
Common Stock Equity,13076439.0,8069055.0,
Total Capitalization,13076439.0,8069055.0,10339516.0
Total Equity Gross Minority Interest,13076439.0,8069055.0,10339516.0
Stockholders Equity,13076439.0,8069055.0,10339516.0
Gains Losses Not Affecting Retained Earnings,487025.0,1639504.0,2249821.0
Retained Earnings,-83285019.0,-82443205.0,-80497348.0
Capital Stock,95874433.0,88872756.0,88587043.0
Common Stock,95874433.0,88872756.0,88587043.0
Total Liabilities Net Minority Interest,2061145.0,2060787.0,1830238.0
Total Non Current Liabilities Net Minority Interest,205542.0,94577.0,
Other Non Current Liabilities,174559.0,,92435.0
Employee Benefits,30983.0,22722.0,9073.0
Long Term Debt And Capital Lease Obligation,,71855.0,
Long Term Capital Lease Obligation,,71855.0,
Current Liabilities,1855603.0,1966210.0,1728730.0
Other Current Liabilities,29355.0,45272.0,43182.0
Pensionand Other Post Retirement Benefit Plans Current,330030.0,391503.0,397945.0
Payables And Accrued Expenses,1496218.0,1529435.0,1287603.0
Current Accrued Expenses,,492853.0,
Payables,1496218.0,1036582.0,1287603.0
Other Payable,,29918.0,
Accounts Payable,1496218.0,1006664.0,
Total Assets,15137584.0,10129842.0,
Total Non Current Assets,213079.0,114616.0,
Other Non Current Assets,,666.0,
Net PPE,213079.0,113950.0,135180.0
Current Assets,14924505.0,10015226.0,11755345.0
Other Current Assets,162974.0,7666.0,260850.0
Prepaid Assets,,3479078.0,
Inventory,2241552.0,1772363.0,1516761.0
Other Inventories,,35.0,
Finished Goods,,1140050.0,
Work In Process,,433051.0,
Raw Materials,,199227.0,
Receivables,2524651.0,1925593.0,2241336.0
Other Receivables,1537828.0,1134202.0,1093064.0
Accounts Receivable,986823.0,791391.0,1148272.0
Allowance For Doubtful Accounts Receivable,-34276.0,-35466.0,-37229.0
Gross Accounts Receivable,1021099.0,826857.0,1185501.0
Cash Cash Equivalents And Short Term Investments,9995328.0,2830526.0,7736398.0
Cash And Cash Equivalents,9995328.0,2830526.0,7736398.0
Cash Financial,,2830526.0,
