,2026-03-31,2025-09-30
Ordinary Shares Number,43750000.0,43750000.0
Share Issued,43750000.0,43750000.0
Net Debt,250689.0,12420.0
Total Debt,250689.0,12420.0
Tangible Book Value,-14176101.0,6568.0
Invested Capital,-13925412.0,18988.0
Working Capital,-267830.0,
Net Tangible Assets,-14176101.0,6568.0
Common Stock Equity,-14176101.0,6568.0
Total Capitalization,-14176101.0,6568.0
Total Equity Gross Minority Interest,-14176101.0,6568.0
Stockholders Equity,-14176101.0,6568.0
Other Equity Interest,-1346926.0,
Retained Earnings,-12830049.0,-18432.0
Additional Paid In Capital,0.0,23994.0
Capital Stock,874.0,1006.0
Common Stock,874.0,1006.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,365985727.0,33905.0
Total Non Current Liabilities Net Minority Interest,365589271.0,0.0
Other Non Current Liabilities,351589271.0,
Tradeand Other Payables Non Current,14000000.0,
Current Liabilities,396456.0,33905.0
Current Debt And Capital Lease Obligation,250689.0,12420.0
Current Debt,250689.0,12420.0
Other Current Borrowings,250689.0,12420.0
Payables And Accrued Expenses,145767.0,21485.0
Current Accrued Expenses,145767.0,21485.0
Total Assets,351809626.0,40473.0
Total Non Current Assets,351681000.0,40473.0
Other Non Current Assets,351589271.0,
Non Current Prepaid Assets,91729.0,
Non Current Deferred Assets,0.0,40473.0
Current Assets,128626.0,
Prepaid Assets,128626.0,
