,2025-06-30
Total Debt,101446.0
Tangible Book Value,945726.0
Invested Capital,1774496.0
Working Capital,2333209.0
Net Tangible Assets,945726.0
Capital Lease Obligations,101446.0
Common Stock Equity,1774496.0
Total Capitalization,1774496.0
Total Equity Gross Minority Interest,1774496.0
Stockholders Equity,1774496.0
Other Equity Interest,-647316.0
Retained Earnings,-20764985.0
Additional Paid In Capital,23185396.0
Capital Stock,1401.0
Common Stock,1401.0
Total Liabilities Net Minority Interest,2556806.0
Total Non Current Liabilities Net Minority Interest,1496054.0
Non Current Deferred Liabilities,1438013.0
Non Current Deferred Revenue,1438013.0
Long Term Debt And Capital Lease Obligation,58041.0
Long Term Capital Lease Obligation,58041.0
Current Liabilities,1060752.0
Current Debt And Capital Lease Obligation,43405.0
Current Capital Lease Obligation,43405.0
Payables And Accrued Expenses,1017347.0
Total Assets,4331302.0
Total Non Current Assets,937341.0
Non Current Prepaid Assets,8582.0
Goodwill And Other Intangible Assets,828770.0
Net PPE,99989.0
Gross PPE,99989.0
Other Properties,99989.0
Current Assets,3393961.0
Other Current Assets,204018.0
Cash Cash Equivalents And Short Term Investments,3189943.0
Cash And Cash Equivalents,3189943.0
