,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,34775160.0,34775160.0,34775160.0,34775160.0
Share Issued,34775160.0,34775160.0,34775160.0,34775160.0
Net Debt,278502000.0,241400000.0,201679000.0,10260000.0
Total Debt,326606000.0,246748000.0,210463000.0,25981000.0
Tangible Book Value,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Invested Capital,1780476000.0,1600996000.0,1537557000.0,1324143000.0
Working Capital,737688000.0,697685000.0,729288000.0,775907000.0
Net Tangible Assets,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Capital Lease Obligations,121000.0,118000.0,113000.0,58000.0
Common Stock Equity,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Total Capitalization,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Total Equity Gross Minority Interest,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Stockholders Equity,1453991000.0,1354366000.0,1327207000.0,1298220000.0
Other Equity Interest,1106239000.0,1006614000.0,979455000.0,950468000.0
Retained Earnings,,,-7322000.0,
Additional Paid In Capital,,,983077000.0,
Capital Stock,347752000.0,347752000.0,347752000.0,347752000.0
Common Stock,347752000.0,347752000.0,347752000.0,347752000.0
Total Liabilities Net Minority Interest,1091989000.0,998797000.0,929088000.0,890717000.0
Total Non Current Liabilities Net Minority Interest,36378000.0,43472000.0,40008000.0,40020000.0
Non Current Pension And Other Postretirement Benefit Plans,36278000.0,43368000.0,39905000.0,
Long Term Debt And Capital Lease Obligation,100000.0,104000.0,103000.0,53000.0
Long Term Capital Lease Obligation,100000.0,104000.0,103000.0,53000.0
Long Term Debt,0.0,0.0,0.0,0.0
Long Term Provisions,,,39905000.0,39967000.0
Current Liabilities,1055611000.0,955325000.0,889080000.0,850697000.0
Other Current Liabilities,62177000.0,67730000.0,-3000.0,120409000.0
Current Debt And Capital Lease Obligation,326506000.0,246644000.0,210360000.0,25928000.0
Current Capital Lease Obligation,21000.0,14000.0,10000.0,5000.0
Current Debt,326485000.0,246630000.0,210350000.0,25923000.0
Pensionand Other Post Retirement Benefit Plans Current,12476000.0,,10296000.0,
Current Provisions,,11220000.0,10296000.0,6610000.0
Payables,396840000.0,362466000.0,483177000.0,425286000.0
Other Payable,,,130873000.0,
Total Tax Payable,18143000.0,9058000.0,0.0,1887000.0
Accounts Payable,378697000.0,353408000.0,352304000.0,423399000.0
Total Assets,2545980000.0,2353163000.0,2256295000.0,2188937000.0
Total Non Current Assets,752681000.0,700153000.0,637927000.0,562333000.0
Other Non Current Assets,26886000.0,22409000.0,9786000.0,15390000.0
Non Current Prepaid Assets,,,36640000.0,
Investmentin Financial Assets,104093000.0,79138000.0,2948000.0,39035000.0
Available For Sale Securities,104093000.0,79138000.0,2948000.0,39035000.0
Goodwill And Other Intangible Assets,0.0,0.0,0.0,0.0
Net PPE,621702000.0,598606000.0,552677000.0,499921000.0
Accumulated Depreciation,,,-1534905000.0,
Gross PPE,621702000.0,598606000.0,2087582000.0,499921000.0
Construction In Progress,86552000.0,116958000.0,61913000.0,2500000.0
Other Properties,535150000.0,481648000.0,490764000.0,497421000.0
Machinery Furniture Equipment,,,1665565000.0,
Buildings And Improvements,,,190209000.0,
Land And Improvements,,,169895000.0,
Properties,,,0.0,
Current Assets,1793299000.0,1653010000.0,1618368000.0,1626604000.0
Other Current Assets,86922000.0,81707000.0,75810000.0,77083000.0
Hedging Assets Current,,,110000.0,
Restricted Cash,,,1085000.0,
Prepaid Assets,,,47038000.0,
Inventory,1046198000.0,764617000.0,765916000.0,784096000.0
Finished Goods,,,363995000.0,
Work In Process,,,89605000.0,
Raw Materials,,,312316000.0,
Other Receivables,,,34205000.0,
Taxes Receivable,435000.0,1246000.0,968000.0,
Accounts Receivable,405476000.0,495667000.0,468698000.0,474947000.0
Allowance For Doubtful Accounts Receivable,,,-3835000.0,
Gross Accounts Receivable,,,472533000.0,
Cash Cash Equivalents And Short Term Investments,254268000.0,309773000.0,300348000.0,290478000.0
Other Short Term Investments,206285000.0,304543000.0,291677000.0,274815000.0
Cash And Cash Equivalents,47983000.0,5230000.0,8671000.0,15663000.0
Cash Financial,,,8671000.0,
