,2024-12-31
Ordinary Shares Number,2200646809.0
Share Issued,2200646809.0
Tangible Book Value,5200294.0
Invested Capital,53202003.0
Working Capital,31207769.0
Net Tangible Assets,5200294.0
Common Stock Equity,53202003.0
Total Capitalization,53202003.0
Total Equity Gross Minority Interest,52003713.0
Minority Interest,-1198290.0
Stockholders Equity,53202003.0
Other Equity Interest,849544.0
Gains Losses Not Affecting Retained Earnings,11856085.0
Other Equity Adjustments,11856085.0
Retained Earnings,-127785301.0
Capital Stock,168281675.0
Common Stock,168281675.0
Total Liabilities Net Minority Interest,40448518.0
Total Non Current Liabilities Net Minority Interest,27302866.0
Other Non Current Liabilities,27302866.0
Current Liabilities,13145652.0
Other Current Liabilities,2188735.0
Current Deferred Liabilities,3158664.0
Current Deferred Revenue,3158664.0
Pensionand Other Post Retirement Benefit Plans Current,410201.0
Current Provisions,53392.0
Payables And Accrued Expenses,7334660.0
Current Accrued Expenses,4177993.0
Payables,3156667.0
Other Payable,16635.0
Accounts Payable,3140032.0
Total Assets,92452231.0
Total Non Current Assets,48098810.0
Investments And Advances,40000.0
Investmentin Financial Assets,40000.0
Available For Sale Securities,40000.0
Goodwill And Other Intangible Assets,48001709.0
Net PPE,57101.0
Current Assets,44353421.0
Assets Held For Sale Current,0.0
Prepaid Assets,1665790.0
Receivables,6250693.0
Taxes Receivable,1616637.0
Accounts Receivable,4634056.0
Cash Cash Equivalents And Short Term Investments,36436938.0
Cash And Cash Equivalents,36436938.0
