,2026-03-31
Ordinary Shares Number,13559071.0
Share Issued,13559071.0
Tangible Book Value,253430000.0
Invested Capital,253430000.0
Working Capital,81422000.0
Net Tangible Assets,253430000.0
Common Stock Equity,253430000.0
Total Capitalization,253430000.0
Total Equity Gross Minority Interest,254387000.0
Minority Interest,957000.0
Stockholders Equity,253430000.0
Retained Earnings,-320017000.0
Additional Paid In Capital,573433000.0
Capital Stock,14000.0
Common Stock,14000.0
Total Liabilities Net Minority Interest,112444000.0
Total Non Current Liabilities Net Minority Interest,4368000.0
Other Non Current Liabilities,4368000.0
Current Liabilities,108076000.0
Other Current Liabilities,57106000.0
Payables,50970000.0
Accounts Payable,50970000.0
Total Assets,366831000.0
Total Non Current Assets,177333000.0
Other Non Current Assets,39452000.0
Long Term Equity Investment,77140000.0
Investmentsin Joint Venturesat Cost,77140000.0
Net PPE,60741000.0
Accumulated Depreciation,-172850000.0
Gross PPE,233591000.0
Other Properties,233591000.0
Current Assets,189498000.0
Other Current Assets,57717000.0
Restricted Cash,3512000.0
Inventory,19566000.0
Raw Materials,19566000.0
Accounts Receivable,47352000.0
Allowance For Doubtful Accounts Receivable,-2336000.0
Gross Accounts Receivable,49688000.0
Cash Cash Equivalents And Short Term Investments,61351000.0
Cash And Cash Equivalents,61351000.0
