,2025-09-30,2025-03-31
Ordinary Shares Number,37068205.0,37044475.0
Share Issued,37068205.0,37044475.0
Total Debt,222772.0,270866.0
Tangible Book Value,34863287.0,34821036.0
Invested Capital,34953734.0,34885304.0
Working Capital,27373518.0,28358061.0
Net Tangible Assets,34863287.0,34821036.0
Capital Lease Obligations,222772.0,270866.0
Common Stock Equity,34953734.0,34885304.0
Total Capitalization,34953734.0,34885304.0
Total Equity Gross Minority Interest,34953734.0,34885304.0
Stockholders Equity,34953734.0,34885304.0
Gains Losses Not Affecting Retained Earnings,-9662.0,127649.0
Retained Earnings,5935005.0,5744465.0
Additional Paid In Capital,28991321.0,28976144.0
Capital Stock,37070.0,37046.0
Common Stock,37070.0,37046.0
Total Liabilities Net Minority Interest,29114602.0,11914454.0
Total Non Current Liabilities Net Minority Interest,222772.0,270866.0
Derivative Product Liabilities,,0.0
Long Term Debt And Capital Lease Obligation,222772.0,270866.0
Long Term Capital Lease Obligation,222772.0,270866.0
Current Liabilities,28891830.0,11643588.0
Payables And Accrued Expenses,28891830.0,11643588.0
Current Accrued Expenses,392725.0,598264.0
Payables,28499105.0,11045324.0
Total Tax Payable,67766.0,67775.0
Income Tax Payable,67766.0,67775.0
Accounts Payable,28431339.0,10977549.0
Total Assets,64068336.0,46799758.0
Total Non Current Assets,7802988.0,6798109.0
Other Non Current Assets,1091492.0,382782.0
Financial Assets,,0.0
Investments And Advances,6148062.0,5647371.0
Other Investments,0.0,500000.0
Investmentin Financial Assets,1825027.0,1499587.0
Available For Sale Securities,1825027.0,1499587.0
Long Term Equity Investment,4323035.0,3647784.0
Investmentsin Joint Venturesat Cost,,0.0
Investments In Other Ventures Under Equity Method,4247784.0,3647784.0
Investmentsin Associatesat Cost,75251.0,
Investment Properties,255795.0,414943.0
Goodwill And Other Intangible Assets,90447.0,64268.0
Other Intangible Assets,64260.0,
Goodwill,26187.0,
Net PPE,217192.0,288745.0
Accumulated Depreciation,-63836.0,-117249.0
Gross PPE,281028.0,405994.0
Other Properties,215164.0,269664.0
Machinery Furniture Equipment,65864.0,136330.0
Current Assets,56265348.0,40001649.0
Restricted Cash,8787029.0,2947556.0
Receivables,32692873.0,24826713.0
Taxes Receivable,,0.0
Loans Receivable,10873792.0,11957377.0
Accounts Receivable,21819081.0,12869336.0
Allowance For Doubtful Accounts Receivable,-2851633.0,-261342.0
Gross Accounts Receivable,24670714.0,13130678.0
Cash Cash Equivalents And Short Term Investments,14785446.0,12227380.0
Cash And Cash Equivalents,14785446.0,12227380.0
