,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-43470.0
Net Income From Continuing Operation Net Minority Interest,-43470.0
EBITDA,-43470.0
EBIT,-43470.0
Normalized Income,-43470.0
Net Income From Continuing And Discontinued Operation,-43470.0
Total Expenses,43470.0
Total Operating Income As Reported,-43470.0
Diluted NI Availto Com Stockholders,-43470.0
Net Income Common Stockholders,-43470.0
Net Income,-43470.0
Net Income Including Noncontrolling Interests,-43470.0
Net Income Continuous Operations,-43470.0
Pretax Income,-43470.0
Operating Income,-43470.0
Operating Expense,43470.0
Other Operating Expenses,43470.0
Total Revenue,0.0
Operating Revenue,0.0
