,2026-03-31
Tax Effect Of Unusual Items,30800.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-349681.0
Total Unusual Items,77000.0
Total Unusual Items Excluding Goodwill,77000.0
Net Income From Continuing Operation Net Minority Interest,2030262.0
EBITDA,-272681.0
EBIT,-272681.0
Net Interest Income,2225943.0
Interest Income,2225943.0
Normalized Income,1984062.0
Net Income From Continuing And Discontinued Operation,2030262.0
Total Expenses,272681.0
Total Operating Income As Reported,-272681.0
Diluted NI Availto Com Stockholders,2030262.0
Net Income Common Stockholders,2030262.0
Net Income,2030262.0
Net Income Including Noncontrolling Interests,2030262.0
Net Income Continuous Operations,2030262.0
Pretax Income,2030262.0
Other Income Expense,77000.0
Gain On Sale Of Security,77000.0
Net Non Operating Interest Income Expense,2225943.0
Interest Income Non Operating,2225943.0
Operating Income,-272681.0
Operating Expense,272681.0
Selling General And Administration,272681.0
General And Administrative Expense,272681.0
Other Gand A,272681.0
Total Revenue,0.0
Operating Revenue,0.0
