,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.4,0.21
Normalized EBITDA,-279171.0,-240284.0
Net Income From Continuing Operation Net Minority Interest,2791383.0,357006.0
EBITDA,-279171.0,-240284.0
EBIT,-279171.0,-240284.0
Net Interest Income,3070554.0,597290.0
Interest Income,3070554.0,597290.0
Normalized Income,2791383.0,357006.0
Net Income From Continuing And Discontinued Operation,2791383.0,357006.0
Total Expenses,279171.0,240284.0
Total Operating Income As Reported,-279171.0,-240284.0
Diluted NI Availto Com Stockholders,2791383.0,357006.0
Net Income Common Stockholders,2791383.0,357006.0
Net Income,2791383.0,357006.0
Net Income Including Noncontrolling Interests,2791383.0,357006.0
Net Income Continuous Operations,2791383.0,357006.0
Pretax Income,2791383.0,357006.0
Net Non Operating Interest Income Expense,3070554.0,597290.0
Interest Income Non Operating,3070554.0,597290.0
Operating Income,-279171.0,-240284.0
Operating Expense,279171.0,240284.0
Selling General And Administration,279171.0,240284.0
General And Administrative Expense,279171.0,240284.0
Other Gand A,279171.0,240284.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
