,2025-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-1432162.0
Total Unusual Items,682991.0
Total Unusual Items Excluding Goodwill,682991.0
Net Income From Continuing Operation Net Minority Interest,-753254.0
Reconciled Depreciation,1330.0
EBITDA,-749171.0
EBIT,-750501.0
Net Interest Income,70062.0
Interest Expense,2753.0
Interest Income,72815.0
Normalized Income,-1436245.0
Net Income From Continuing And Discontinued Operation,-753254.0
Total Expenses,1506307.0
Diluted NI Availto Com Stockholders,-753254.0
Net Income Common Stockholders,-753254.0
Net Income,-753254.0
Net Income Including Noncontrolling Interests,-753254.0
Net Income Continuous Operations,-753254.0
Pretax Income,-753254.0
Other Income Expense,682991.0
Gain On Sale Of Security,682991.0
Net Non Operating Interest Income Expense,70062.0
Interest Expense Non Operating,2753.0
Interest Income Non Operating,72815.0
Operating Income,-1506307.0
Operating Expense,1506307.0
Depreciation Amortization Depletion Income Statement,1330.0
Depreciation And Amortization In Income Statement,1330.0
Depreciation Income Statement,1330.0
Research And Development,357444.0
Selling General And Administration,1147533.0
Selling And Marketing Expense,48670.0
General And Administrative Expense,1098863.0
Other Gand A,1098863.0
Total Revenue,0.0
Operating Revenue,0.0
