,2026-03-31
Tax Effect Of Unusual Items,16760.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-656934.0
Total Unusual Items,41900.0
Total Unusual Items Excluding Goodwill,41900.0
Net Income From Continuing Operation Net Minority Interest,913196.0
Reconciled Cost Of Revenue,393600.0
EBITDA,-615034.0
EBIT,-615034.0
Net Interest Income,1486330.0
Interest Income,1486330.0
Normalized Income,888056.0
Net Income From Continuing And Discontinued Operation,913196.0
Total Expenses,615034.0
Total Operating Income As Reported,-221434.0
Diluted Average Shares,22513889.0
Basic Average Shares,22333333.0
Diluted EPS,0.04
Basic EPS,0.04
Diluted NI Availto Com Stockholders,913196.0
Net Income Common Stockholders,913196.0
Net Income,913196.0
Net Income Including Noncontrolling Interests,913196.0
Net Income Continuous Operations,913196.0
Pretax Income,913196.0
Other Income Expense,41900.0
Gain On Sale Of Security,41900.0
Net Non Operating Interest Income Expense,1486330.0
Interest Income Non Operating,1486330.0
Operating Income,-615034.0
Operating Expense,221434.0
Selling General And Administration,221434.0
General And Administrative Expense,221434.0
Other Gand A,221434.0
Gross Profit,-393600.0
Cost Of Revenue,393600.0
Total Revenue,0.0
Operating Revenue,0.0
