,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-500636.0
Net Income From Continuing Operation Net Minority Interest,1490202.0
EBITDA,-500636.0
EBIT,-500636.0
Net Interest Income,1990838.0
Interest Income,1990838.0
Normalized Income,1490202.0
Net Income From Continuing And Discontinued Operation,1490202.0
Total Expenses,500636.0
Diluted NI Availto Com Stockholders,1490202.0
Net Income Common Stockholders,1490202.0
Net Income,1490202.0
Net Income Including Noncontrolling Interests,1490202.0
Net Income Continuous Operations,1490202.0
Pretax Income,1490202.0
Net Non Operating Interest Income Expense,1990838.0
Interest Income Non Operating,1990838.0
Operating Income,-500636.0
Operating Expense,500636.0
Selling General And Administration,500636.0
General And Administrative Expense,500636.0
Other Gand A,500636.0
Total Revenue,0.0
Operating Revenue,0.0
