,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,168800.0,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-521246.0,-52953.0
Total Unusual Items,422000.0,
Total Unusual Items Excluding Goodwill,422000.0,
Net Income From Continuing Operation Net Minority Interest,725986.0,-52953.0
EBITDA,-99246.0,-52953.0
EBIT,-99246.0,-52953.0
Net Interest Income,403232.0,
Interest Income,403232.0,
Normalized Income,472786.0,-52953.0
Net Income From Continuing And Discontinued Operation,725986.0,-52953.0
Total Expenses,99246.0,52953.0
Total Operating Income As Reported,-99246.0,-52953.0
Diluted Average Shares,8413333.0,14433333.0
Basic Average Shares,8413333.0,14433333.0
Diluted EPS,0.08629,-0.0038
Basic EPS,0.08629,-0.0038
Diluted NI Availto Com Stockholders,725986.0,-52953.0
Net Income Common Stockholders,725986.0,-52953.0
Net Income,725986.0,-52953.0
Net Income Including Noncontrolling Interests,725986.0,-52953.0
Net Income Continuous Operations,725986.0,-52953.0
Pretax Income,725986.0,-52953.0
Other Income Expense,422000.0,
Gain On Sale Of Security,422000.0,
Net Non Operating Interest Income Expense,403232.0,
Interest Income Non Operating,403232.0,
Operating Income,-99246.0,-52953.0
Operating Expense,99246.0,52953.0
Selling General And Administration,99246.0,52953.0
General And Administrative Expense,99246.0,52953.0
Other Gand A,99246.0,52953.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
