,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.000622,0.15,0.035409,0.15
Normalized EBITDA,366000.0,-504000.0,-19842000.0,-4980000.0
Net Income From Continuing Operation Net Minority Interest,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Reconciled Depreciation,4634000.0,5328000.0,34143000.0,8725000.0
Reconciled Cost Of Revenue,24357000.0,19263000.0,19417000.0,28957000.0
EBITDA,366000.0,-504000.0,-19842000.0,-4980000.0
EBIT,-4268000.0,-5832000.0,-53985000.0,-13706000.0
Net Interest Income,-551000.0,-477000.0,185000.0,-235000.0
Interest Expense,,988000.0,239000.0,1139000.0
Interest Income,,511000.0,424000.0,904000.0
Normalized Income,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Net Income From Continuing And Discontinued Operation,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Total Expenses,57154000.0,51046000.0,57189000.0,72385000.0
Diluted Average Shares,32113333.0,32490476.0,,32493617.0
Basic Average Shares,32113333.0,32490476.0,,32493617.0
Diluted EPS,-0.15,-0.21,,-0.47
Basic EPS,-0.15,-0.21,,-0.47
Diluted NI Availto Com Stockholders,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Net Income Common Stockholders,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Net Income Including Noncontrolling Interests,-4817000.0,-6823000.0,-52305000.0,-15272000.0
Net Income Continuous Operations,-4817000.0,-6823000.0,-52304000.0,-15271000.0
Tax Provision,-3000.0,3000.0,-1920000.0,426000.0
Pretax Income,-4820000.0,-6820000.0,-54224000.0,-14845000.0
Net Non Operating Interest Income Expense,-551000.0,-477000.0,185000.0,-235000.0
Interest Expense Non Operating,,988000.0,239000.0,1139000.0
Interest Income Non Operating,,511000.0,424000.0,904000.0
Operating Income,-4268000.0,-6344000.0,-16925000.0,-14611000.0
Operating Expense,32797000.0,31783000.0,37772000.0,43428000.0
Other Operating Expenses,15008000.0,12209000.0,-45587000.0,18462000.0
Depreciation And Amortization In Income Statement,4634000.0,5328000.0,9280000.0,8726000.0
Depreciation Income Statement,4634000.0,5328000.0,-1720000.0,8726000.0
Gross Profit,28529000.0,25439000.0,20847000.0,28817000.0
Cost Of Revenue,24357000.0,19263000.0,19417000.0,28957000.0
Total Revenue,52886000.0,44702000.0,40264000.0,57774000.0
Operating Revenue,52886000.0,44702000.0,40264000.0,57774000.0
