,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,859210419.380416,-825262298.764508,-512335174.849303,-64183710.227938
Tax Rate For Calcs,0.181153,0.203819,0.213651,0.221323
Normalized EBITDA,282946000000.0,48974000000.0,498416000000.0,227246000000.0
Total Unusual Items,4743000000.0,-4049000000.0,-2398000000.0,-290000000.0
Total Unusual Items Excluding Goodwill,4743000000.0,-4049000000.0,-2398000000.0,-290000000.0
Net Income From Continuing Operation Net Minority Interest,176379000000.0,25689000000.0,267359000000.0,123399000000.0
Reconciled Depreciation,550000000.0,554000000.0,527000000.0,570000000.0
Reconciled Cost Of Revenue,235853000000.0,137813000000.0,238800000000.0,249458000000.0
EBITDA,287689000000.0,44925000000.0,496018000000.0,226956000000.0
EBIT,287139000000.0,44371000000.0,495491000000.0,226386000000.0
Net Interest Income,12692000000.0,7642000000.0,6925000000.0,-1142000000.0
Interest Expense,4627000000.0,4306000000.0,2781000000.0,4308000000.0
Interest Income,17050000000.0,11728000000.0,8035000000.0,5156000000.0
Normalized Income,172495210419.3804,28912737701.235493,269244664825.1507,123624816289.77206
Net Income From Continuing And Discontinued Operation,176379000000.0,25689000000.0,267359000000.0,123399000000.0
Total Expenses,251094000000.0,155550000000.0,270139000000.0,265930000000.0
Rent Expense Supplemental,89000000.0,151000000.0,708000000.0,102000000.0
Diluted Average Shares,259357000.0,259357000.0,,259357000.0
Basic Average Shares,259357000.0,259357000.0,,259357000.0
Diluted EPS,680.0,99.0,,476.0
Basic EPS,680.0,99.0,,476.0
Diluted NI Availto Com Stockholders,176379000000.0,25689000000.0,267359000000.0,123399000000.0
Net Income Common Stockholders,176379000000.0,25689000000.0,267359000000.0,123399000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,176379000000.0,25689000000.0,267359000000.0,123399000000.0
Minority Interests,-54955000000.0,-6210000000.0,-120083000000.0,-49528000000.0
Net Income Including Noncontrolling Interests,231334000000.0,31899000000.0,387442000000.0,172927000000.0
Net Income Continuous Operations,231334000000.0,31899000000.0,387442000000.0,172927000000.0
Tax Provision,51178000000.0,8166000000.0,105268000000.0,49151000000.0
Pretax Income,282512000000.0,40065000000.0,492710000000.0,222078000000.0
Other Non Operating Income Expenses,-1056000000.0,-2564000000.0,-248000000.0,-750000000.0
Special Income Charges,-1362000000.0,515000000.0,-1624000000.0,450000000.0
Other Special Charges,,81000000.0,-22000000.0,70000000.0
Write Off,1236000000.0,-765000000.0,1478000000.0,-635000000.0
Restructuring And Mergern Acquisition,126000000.0,169000000.0,168000000.0,115000000.0
Net Non Operating Interest Income Expense,12692000000.0,7642000000.0,6925000000.0,-1142000000.0
Total Other Finance Cost,-269000000.0,-220000000.0,-1671000000.0,1990000000.0
Interest Expense Non Operating,4627000000.0,4306000000.0,2781000000.0,4308000000.0
Interest Income Non Operating,17050000000.0,11728000000.0,8035000000.0,5156000000.0
Operating Income,194664000000.0,58859000000.0,404360000000.0,171803000000.0
Operating Expense,15241000000.0,17737000000.0,31339000000.0,16472000000.0
Other Operating Expenses,117000000.0,478000000.0,3687000000.0,252000000.0
Depreciation And Amortization In Income Statement,550000000.0,554000000.0,527000000.0,570000000.0
Depreciation Income Statement,550000000.0,554000000.0,527000000.0,570000000.0
Selling General And Administration,7817000000.0,9668000000.0,14029000000.0,8549000000.0
Selling And Marketing Expense,4006000000.0,6512000000.0,8007000000.0,5423000000.0
General And Administrative Expense,3811000000.0,3156000000.0,6022000000.0,3126000000.0
Rent And Landing Fees,89000000.0,151000000.0,247000000.0,102000000.0
Gross Profit,209905000000.0,76596000000.0,435699000000.0,188275000000.0
Cost Of Revenue,235853000000.0,137813000000.0,238800000000.0,249458000000.0
Total Revenue,445758000000.0,214409000000.0,674499000000.0,437733000000.0
Operating Revenue,445758000000.0,214409000000.0,674499000000.0,437733000000.0
