,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-52362.0
Net Income From Continuing Operation Net Minority Interest,-52362.0
EBITDA,-52362.0
EBIT,-52362.0
Normalized Income,-52362.0
Net Income From Continuing And Discontinued Operation,-52362.0
Total Expenses,52362.0
Diluted NI Availto Com Stockholders,-52362.0
Net Income Common Stockholders,-52362.0
Net Income,-52362.0
Net Income Including Noncontrolling Interests,-52362.0
Net Income Continuous Operations,-52362.0
Pretax Income,-52362.0
Operating Income,-52362.0
Operating Expense,52362.0
Other Operating Expenses,52362.0
Total Revenue,0.0
Operating Revenue,0.0
