,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-210253.0
Net Income From Continuing Operation Net Minority Interest,1574054.0
EBITDA,-210253.0
EBIT,-210253.0
Net Interest Income,1784307.0
Interest Income,1784307.0
Normalized Income,1574054.0
Net Income From Continuing And Discontinued Operation,1574054.0
Total Expenses,210253.0
Total Operating Income As Reported,-210253.0
Diluted Average Shares,27295146.0
Basic Average Shares,27042337.0
Diluted EPS,0.06
Basic EPS,0.06
Diluted NI Availto Com Stockholders,1574054.0
Net Income Common Stockholders,1574054.0
Net Income,1574054.0
Net Income Including Noncontrolling Interests,1574054.0
Net Income Continuous Operations,1574054.0
Pretax Income,1574054.0
Net Non Operating Interest Income Expense,1784307.0
Interest Income Non Operating,1784307.0
Operating Income,-210253.0
Operating Expense,210253.0
Selling General And Administration,210253.0
General And Administrative Expense,210253.0
Other Gand A,210253.0
Total Revenue,0.0
Operating Revenue,0.0
