,2024-12-31
Tax Effect Of Unusual Items,-2508055.031159
Tax Rate For Calcs,0.111532
Normalized EBITDA,-32258893.0
Total Unusual Items,-22487226.0
Total Unusual Items Excluding Goodwill,-22487226.0
Net Income From Continuing Operation Net Minority Interest,-48699663.0
Reconciled Cost Of Revenue,26870242.0
EBITDA,-54746119.0
EBIT,-54746119.0
Net Interest Income,2887586.0
Interest Expense,577618.0
Interest Income,3465204.0
Normalized Income,-28720492.031159
Net Income From Continuing And Discontinued Operation,-48699663.0
Total Expenses,70887676.0
Total Operating Income As Reported,-57697921.0
Diluted NI Availto Com Stockholders,-48699663.0
Net Income Common Stockholders,-48699663.0
Net Income,-48699663.0
Minority Interests,453683.0
Net Income Including Noncontrolling Interests,-49153346.0
Net Income Continuous Operations,-49153346.0
Tax Provision,-6170391.0
Pretax Income,-55323737.0
Other Income Expense,-25123260.0
Other Non Operating Income Expenses,-2636034.0
Special Income Charges,-22487226.0
Impairment Of Capital Assets,24135226.0
Restructuring And Mergern Acquisition,-1648000.0
Net Non Operating Interest Income Expense,2887586.0
Interest Expense Non Operating,577618.0
Interest Income Non Operating,3465204.0
Operating Income,-33088063.0
Operating Expense,44017434.0
Other Operating Expenses,-474632.0
Research And Development,1026940.0
Selling General And Administration,43465126.0
Selling And Marketing Expense,11143864.0
General And Administrative Expense,32321262.0
Other Gand A,32321262.0
Gross Profit,10929371.0
Cost Of Revenue,26870242.0
Total Revenue,37799613.0
Operating Revenue,37799613.0
