,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-31905.0
Net Income From Continuing Operation Net Minority Interest,-31905.0
EBITDA,-31905.0
EBIT,-31905.0
Normalized Income,-31905.0
Net Income From Continuing And Discontinued Operation,-31905.0
Total Expenses,31905.0
Diluted NI Availto Com Stockholders,-31905.0
Net Income Common Stockholders,-31905.0
Net Income,-31905.0
Net Income Including Noncontrolling Interests,-31905.0
Net Income Continuous Operations,-31905.0
Pretax Income,-31905.0
Operating Income,-31905.0
Operating Expense,31905.0
Selling General And Administration,31905.0
General And Administrative Expense,31905.0
Other Gand A,31905.0
Total Revenue,0.0
Operating Revenue,0.0
