,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-106080.0
Net Income From Continuing Operation Net Minority Interest,-106080.0
EBITDA,-106080.0
EBIT,-106080.0
Normalized Income,-106080.0
Net Income From Continuing And Discontinued Operation,-106080.0
Total Expenses,106080.0
Diluted NI Availto Com Stockholders,-106080.0
Net Income Common Stockholders,-106080.0
Net Income,-106080.0
Net Income Including Noncontrolling Interests,-106080.0
Net Income Continuous Operations,-106080.0
Pretax Income,-106080.0
Operating Income,-106080.0
Operating Expense,106080.0
Selling General And Administration,106080.0
General And Administrative Expense,106080.0
Other Gand A,106080.0
Total Revenue,0.0
Operating Revenue,0.0
