,2026-03-31
Tax Effect Of Unusual Items,12800.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-197262.0
Total Unusual Items,32000.0
Total Unusual Items Excluding Goodwill,32000.0
Net Income From Continuing Operation Net Minority Interest,42061.0
EBITDA,-165262.0
EBIT,-165262.0
Net Interest Income,175323.0
Interest Income,175323.0
Normalized Income,22861.0
Net Income From Continuing And Discontinued Operation,42061.0
Total Expenses,165262.0
Total Operating Income As Reported,-165262.0
Diluted NI Availto Com Stockholders,42061.0
Net Income Common Stockholders,42061.0
Net Income,42061.0
Net Income Including Noncontrolling Interests,42061.0
Net Income Continuous Operations,42061.0
Pretax Income,42061.0
Other Income Expense,32000.0
Gain On Sale Of Security,32000.0
Net Non Operating Interest Income Expense,175323.0
Interest Income Non Operating,175323.0
Operating Income,-165262.0
Operating Expense,165262.0
Selling General And Administration,165262.0
General And Administrative Expense,165262.0
Other Gand A,165262.0
Total Revenue,0.0
Operating Revenue,0.0
