,2024-12-31
Tax Effect Of Unusual Items,-54330.793576
Tax Rate For Calcs,0.053687
Normalized EBITDA,-38679000.0
Total Unusual Items,-1012000.0
Total Unusual Items Excluding Goodwill,-1012000.0
Net Income From Continuing Operation Net Minority Interest,-15445000.0
Reconciled Depreciation,6890000.0
Reconciled Cost Of Revenue,133097000.0
EBITDA,-39691000.0
EBIT,-46581000.0
Net Interest Income,-1926000.0
Normalized Income,-14487330.793576
Net Income From Continuing And Discontinued Operation,-15445000.0
Total Expenses,230945000.0
Total Operating Income As Reported,-45896000.0
Diluted NI Availto Com Stockholders,-420678000.0
Net Income Common Stockholders,-420678000.0
Otherunder Preferred Stock Dividend,405233000.0
Net Income,-15445000.0
Minority Interests,62000.0
Net Income Including Noncontrolling Interests,-15507000.0
Net Income From Tax Loss Carryforward,639000.0
Net Income Continuous Operations,-15507000.0
Earnings From Equity Interest Net Of Tax,639000.0
Tax Provision,-916000.0
Pretax Income,-17062000.0
Other Income Expense,30760000.0
Other Non Operating Income Expenses,31772000.0
Gain On Sale Of Security,-1012000.0
Net Non Operating Interest Income Expense,-1926000.0
Operating Income,-45896000.0
Operating Expense,97848000.0
Research And Development,25758000.0
Selling General And Administration,72090000.0
Selling And Marketing Expense,28289000.0
General And Administrative Expense,43801000.0
Other Gand A,43801000.0
Gross Profit,51952000.0
Cost Of Revenue,133097000.0
Total Revenue,185049000.0
Operating Revenue,185049000.0
