,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-10145000.0,-14938000.0,-7809000.0,-9642000.0
Net Income From Continuing Operation Net Minority Interest,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Reconciled Depreciation,187000.0,163000.0,133000.0,130000.0
EBITDA,-10145000.0,-14938000.0,-7809000.0,-9642000.0
EBIT,-10332000.0,-15101000.0,-7942000.0,-9772000.0
Normalized Income,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Net Income From Continuing And Discontinued Operation,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Total Expenses,10332000.0,15101000.0,7942000.0,9772000.0
Total Operating Income As Reported,-10332000.0,-15101000.0,-7942000.0,-9772000.0
Diluted Average Shares,32145836.0,,27372918.0,
Basic Average Shares,32145836.0,,27372918.0,
Diluted EPS,-0.32,,-0.200542,
Basic EPS,-0.32,,-0.200542,
Diluted NI Availto Com Stockholders,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Net Income Common Stockholders,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Net Income,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Net Income Including Noncontrolling Interests,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Net Income Continuous Operations,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Pretax Income,-10194000.0,-15480000.0,-5489000.0,-8880000.0
Other Income Expense,138000.0,-379000.0,2453000.0,892000.0
Other Non Operating Income Expenses,138000.0,-379000.0,2453000.0,892000.0
Operating Income,-10332000.0,-15101000.0,-7942000.0,-9772000.0
Operating Expense,10332000.0,15101000.0,7942000.0,9772000.0
Depreciation Amortization Depletion Income Statement,49000.0,47000.0,42000.0,42000.0
Depreciation And Amortization In Income Statement,49000.0,47000.0,42000.0,42000.0
Depreciation Income Statement,49000.0,47000.0,42000.0,42000.0
Research And Development,5905000.0,7530000.0,4729000.0,5041000.0
Selling General And Administration,4378000.0,7524000.0,3171000.0,4689000.0
General And Administrative Expense,4378000.0,7524000.0,3171000.0,4689000.0
Other Gand A,3038000.0,2988000.0,2072000.0,4330000.0
Salaries And Wages,1340000.0,4536000.0,1099000.0,359000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
