,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.0,0.0
Normalized EBITDA,-218386.0,-153339.0,-8473343.0,-43850.0
Net Income From Continuing Operation Net Minority Interest,2239468.0,2583948.0,-5605852.0,-43850.0
EBITDA,-218386.0,-153339.0,-8473343.0,-43850.0
EBIT,-218386.0,-153339.0,-8473343.0,-43850.0
Net Interest Income,2457854.0,2737287.0,2867491.0,0.0
Interest Income,2457854.0,2737287.0,2867491.0,0.0
Normalized Income,2239468.0,2583948.0,-5605852.0,-43850.0
Net Income From Continuing And Discontinued Operation,2239468.0,2583948.0,-5605852.0,-43850.0
Total Expenses,218386.0,153339.0,8473343.0,43850.0
Total Operating Income As Reported,-218386.0,-153339.0,-8473343.0,-43850.0
Diluted Average Shares,34838000.0,,34206374.0,30320000.0
Basic Average Shares,34838000.0,,34206374.0,30320000.0
Diluted EPS,0.06,,-0.163883,-0.001446
Basic EPS,0.06,,-0.163883,-0.001446
Diluted NI Availto Com Stockholders,2239468.0,2583948.0,-5605852.0,-43850.0
Net Income Common Stockholders,2239468.0,2583948.0,-5605852.0,-43850.0
Net Income,2239468.0,2583948.0,-5605852.0,-43850.0
Net Income Including Noncontrolling Interests,2239468.0,2583948.0,-5605852.0,-43850.0
Net Income Continuous Operations,2239468.0,2583948.0,-5605852.0,-43850.0
Pretax Income,2239468.0,2583948.0,-5605852.0,-43850.0
Net Non Operating Interest Income Expense,2457854.0,2737287.0,2867491.0,0.0
Interest Income Non Operating,2457854.0,2737287.0,2867491.0,0.0
Operating Income,-218386.0,-153339.0,-8473343.0,-43850.0
Operating Expense,218386.0,153339.0,8473343.0,43850.0
Other Operating Expenses,,0.0,,
Selling General And Administration,218386.0,153339.0,8473343.0,43850.0
General And Administrative Expense,218386.0,153339.0,8473343.0,43850.0
Other Gand A,218386.0,153339.0,8473343.0,43850.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
