,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-293468.0
Net Income From Continuing Operation Net Minority Interest,75360.0
EBITDA,-293468.0
EBIT,-293468.0
Net Interest Income,368828.0
Interest Income,368828.0
Normalized Income,75360.0
Net Income From Continuing And Discontinued Operation,75360.0
Total Expenses,293468.0
Total Operating Income As Reported,-160488.0
Diluted Average Shares,12482245.0
Basic Average Shares,11842179.0
Diluted EPS,0.01
Basic EPS,0.01
Diluted NI Availto Com Stockholders,75360.0
Net Income Common Stockholders,75360.0
Net Income,75360.0
Net Income Including Noncontrolling Interests,75360.0
Net Income Continuous Operations,75360.0
Pretax Income,75360.0
Net Non Operating Interest Income Expense,368828.0
Interest Income Non Operating,368828.0
Operating Income,-293468.0
Operating Expense,293468.0
Selling General And Administration,293468.0
General And Administrative Expense,293468.0
Other Gand A,160488.0
Salaries And Wages,132980.0
Total Revenue,0.0
Operating Revenue,0.0
