,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-303174.0
Net Income From Continuing Operation Net Minority Interest,1684199.0
EBITDA,-303174.0
EBIT,-303174.0
Net Interest Income,1987373.0
Interest Income,1987373.0
Normalized Income,1684199.0
Net Income From Continuing And Discontinued Operation,1684199.0
Total Expenses,303174.0
Total Operating Income As Reported,-303174.0
Diluted NI Availto Com Stockholders,1684199.0
Net Income Common Stockholders,1684199.0
Net Income,1684199.0
Net Income Including Noncontrolling Interests,1684199.0
Net Income Continuous Operations,1684199.0
Pretax Income,1684199.0
Net Non Operating Interest Income Expense,1987373.0
Interest Income Non Operating,1987373.0
Operating Income,-303174.0
Operating Expense,303174.0
Selling General And Administration,303174.0
General And Administrative Expense,303174.0
Other Gand A,303174.0
Total Revenue,0.0
Operating Revenue,0.0
