,2024-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,1134000.0
Total Unusual Items,-13673000.0
Total Unusual Items Excluding Goodwill,-13673000.0
Net Income From Continuing Operation Net Minority Interest,-15935000.0
Reconciled Depreciation,2327000.0
Reconciled Cost Of Revenue,8186000.0
EBITDA,-12539000.0
EBIT,-14866000.0
Net Interest Income,-1069000.0
Interest Expense,1069000.0
Normalized Income,-2262000.0
Net Income From Continuing And Discontinued Operation,-15935000.0
Total Expenses,13071000.0
Total Operating Income As Reported,-1473000.0
Diluted NI Availto Com Stockholders,-15935000.0
Net Income Common Stockholders,-15935000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,-15935000.0
Net Income Including Noncontrolling Interests,-15935000.0
Net Income Continuous Operations,-15935000.0
Tax Provision,0.0
Pretax Income,-15935000.0
Other Income Expense,-13596000.0
Other Non Operating Income Expenses,77000.0
Special Income Charges,-13582000.0
Gain On Sale Of Ppe,-98000.0
Gain On Sale Of Business,-3528000.0
Other Special Charges,3626000.0
Impairment Of Capital Assets,9002000.0
Restructuring And Mergern Acquisition,954000.0
Earnings From Equity Interest,0.0
Gain On Sale Of Security,-91000.0
Net Non Operating Interest Income Expense,-1069000.0
Interest Expense Non Operating,1069000.0
Operating Income,-1269000.0
Operating Expense,2632000.0
Other Operating Expenses,-8630000.0
Depreciation Amortization Depletion Income Statement,74000.0
Depreciation And Amortization In Income Statement,74000.0
Depreciation Income Statement,74000.0
Selling General And Administration,9668000.0
General And Administrative Expense,9668000.0
Salaries And Wages,5863000.0
Gross Profit,1363000.0
Cost Of Revenue,10439000.0
Total Revenue,11802000.0
Operating Revenue,11802000.0
