,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-282307.0
Net Income From Continuing Operation Net Minority Interest,546079.0
EBITDA,-282307.0
EBIT,-282307.0
Net Interest Income,828386.0
Interest Income,828386.0
Normalized Income,546079.0
Net Income From Continuing And Discontinued Operation,546079.0
Total Expenses,282307.0
Total Operating Income As Reported,-282307.0
Diluted NI Availto Com Stockholders,546079.0
Net Income Common Stockholders,546079.0
Net Income,546079.0
Net Income Including Noncontrolling Interests,546079.0
Net Income Continuous Operations,546079.0
Pretax Income,546079.0
Net Non Operating Interest Income Expense,828386.0
Interest Income Non Operating,828386.0
Operating Income,-282307.0
Operating Expense,282307.0
Selling General And Administration,282307.0
General And Administrative Expense,282307.0
Other Gand A,282307.0
Total Revenue,0.0
Operating Revenue,0.0
