,2024-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-3717713094.8012
Net Income From Continuing Operation Net Minority Interest,-5235725111.5566
Reconciled Cost Of Revenue,173022006.4938
EBITDA,-3717713094.8012
EBIT,-3717713094.8012
Net Interest Income,78930.5901
Normalized Income,-5235725111.5566
Net Income From Continuing And Discontinued Operation,-5235725111.5566
Total Expenses,3816123483.5441
Total Operating Income As Reported,-3717713094.8012
Diluted NI Availto Com Stockholders,-5235725111.5566
Net Income Common Stockholders,-5235725111.5566
Net Income,-5235725111.5566
Net Income Including Noncontrolling Interests,-5235725111.5566
Net Income Continuous Operations,-5235725111.5566
Tax Provision,0.0
Pretax Income,-5235725111.5566
Other Income Expense,-1518090947.3455
Other Non Operating Income Expenses,-1518090947.3455
Net Non Operating Interest Income Expense,78930.5901
Operating Income,-3717713094.8012
Operating Expense,3643101477.0503
Selling General And Administration,3643101477.0503
Gross Profit,-74611617.7509
Cost Of Revenue,173022006.4938
Total Revenue,98410388.7429
Operating Revenue,98410388.7429
