,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.225
Normalized EBITDA,-262465.0,893178.0
Net Income From Continuing Operation Net Minority Interest,-340623.0,772823.0
Reconciled Depreciation,-29784.0,103675.0
Reconciled Cost Of Revenue,4069863.0,3931022.0
EBITDA,-262465.0,893178.0
EBIT,-262465.0,789503.0
Net Interest Income,28539.0,-16464.0
Interest Expense,78158.0,16680.0
Interest Income,106697.0,216.0
Normalized Income,-340623.0,772823.0
Net Income From Continuing And Discontinued Operation,-340623.0,772823.0
Total Expenses,5407403.0,5632090.0
Rent Expense Supplemental,48119.0,52736.0
Diluted NI Availto Com Stockholders,-340623.0,772823.0
Net Income Common Stockholders,-340623.0,772823.0
Net Income,-340623.0,772823.0
Net Income Including Noncontrolling Interests,-340623.0,772823.0
Net Income Continuous Operations,-340623.0,772823.0
Pretax Income,-340623.0,772823.0
Other Income Expense,-240815.0,1511364.0
Other Non Operating Income Expenses,-240815.0,1511364.0
Net Non Operating Interest Income Expense,28539.0,-16464.0
Interest Expense Non Operating,78158.0,16680.0
Interest Income Non Operating,106697.0,216.0
Operating Income,-128347.0,-722077.0
Operating Expense,1337540.0,1701068.0
Provision For Doubtful Accounts,,23954.0
Depreciation Amortization Depletion Income Statement,-29784.0,103675.0
Depreciation And Amortization In Income Statement,-29784.0,103675.0
Depreciation Income Statement,-45378.0,103675.0
Research And Development,105213.0,118326.0
Selling General And Administration,1158565.0,1455113.0
Selling And Marketing Expense,-23010.0,35841.0
General And Administrative Expense,1181575.0,1419272.0
Other Gand A,506623.0,407811.0
Insurance And Claims,15039.0,35885.0
Rent And Landing Fees,48119.0,52736.0
Salaries And Wages,611794.0,922840.0
Gross Profit,1209193.0,978991.0
Cost Of Revenue,4069863.0,3931022.0
Total Revenue,5279056.0,4910013.0
Operating Revenue,5279056.0,4910013.0
