,2024-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-66617000.0
Total Unusual Items,-7722000.0
Total Unusual Items Excluding Goodwill,-7722000.0
Net Income From Continuing Operation Net Minority Interest,-77172000.0
Reconciled Cost Of Revenue,30737000.0
EBITDA,-74339000.0
EBIT,-74339000.0
Net Interest Income,-1444000.0
Interest Expense,2833000.0
Interest Income,1389000.0
Normalized Income,-69450000.0
Net Income From Continuing And Discontinued Operation,-77172000.0
Total Expenses,157471000.0
Total Operating Income As Reported,-68006000.0
Diluted NI Availto Com Stockholders,-77172000.0
Net Income Common Stockholders,-77172000.0
Otherunder Preferred Stock Dividend,672170000.0
Preferred Stock Dividends,-672170000.0
Net Income,-77172000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,-77172000.0
Net Income Continuous Operations,-77172000.0
Tax Provision,0.0
Pretax Income,-77172000.0
Other Income Expense,-7722000.0
Special Income Charges,-14464000.0
Gain On Sale Of Business,0.0
Gain On Sale Of Security,6742000.0
Net Non Operating Interest Income Expense,-1444000.0
Interest Expense Non Operating,2833000.0
Interest Income Non Operating,1389000.0
Operating Income,-68006000.0
Operating Expense,126734000.0
Other Operating Expenses,-513000.0
Research And Development,25499000.0
Selling General And Administration,101748000.0
Selling And Marketing Expense,38395000.0
General And Administrative Expense,63353000.0
Other Gand A,63353000.0
Gross Profit,58728000.0
Cost Of Revenue,30737000.0
Total Revenue,89465000.0
Operating Revenue,85293000.0
