,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.0
Normalized EBITDA,-288569.0,-92207.0,-323003.0,-46768.0
Net Income From Continuing Operation Net Minority Interest,1673135.0,2207514.0,988172.0,-46768.0
Reconciled Cost Of Revenue,,,154700.0,
EBITDA,-288569.0,-92207.0,-323003.0,-46768.0
EBIT,-288569.0,-92207.0,-323003.0,-46768.0
Net Interest Income,1961704.0,2299721.0,1311175.0,
Interest Income,1961704.0,2299721.0,1311175.0,
Normalized Income,1673135.0,2207514.0,988172.0,-46768.0
Net Income From Continuing And Discontinued Operation,1673135.0,2207514.0,988172.0,-46768.0
Total Expenses,288569.0,92207.0,323003.0,46768.0
Total Operating Income As Reported,-288569.0,-246907.0,-168303.0,-46768.0
Diluted Average Shares,29410000.0,,18230000.0,
Basic Average Shares,29410000.0,,17875604.0,
Diluted EPS,0.06,,0.05,
Basic EPS,0.06,,0.05,
Diluted NI Availto Com Stockholders,1673135.0,2207514.0,988172.0,-46768.0
Net Income Common Stockholders,1673135.0,2207514.0,988172.0,-46768.0
Net Income,1673135.0,2207514.0,988172.0,-46768.0
Net Income Including Noncontrolling Interests,1673135.0,2207514.0,988172.0,-46768.0
Net Income Continuous Operations,1673135.0,2207514.0,988172.0,-46768.0
Pretax Income,1673135.0,2207514.0,988172.0,-46768.0
Net Non Operating Interest Income Expense,1961704.0,2299721.0,1311175.0,
Interest Income Non Operating,1961704.0,2299721.0,1311175.0,
Operating Income,-288569.0,-92207.0,-323003.0,-46768.0
Operating Expense,288569.0,92207.0,323003.0,46768.0
Selling General And Administration,288569.0,92207.0,323003.0,46768.0
General And Administrative Expense,288569.0,92207.0,323003.0,46768.0
Other Gand A,288569.0,246907.0,168303.0,46768.0
Salaries And Wages,,,154700.0,
Gross Profit,,,-154700.0,
Cost Of Revenue,,,154700.0,
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
