,2026-03-31,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-96790000.0,-867000.0
Total Unusual Items,-9833000.0,-784000.0
Total Unusual Items Excluding Goodwill,-9833000.0,-784000.0
Net Income From Continuing Operation Net Minority Interest,-106718000.0,-1742000.0
Reconciled Depreciation,87000.0,0.0
Reconciled Cost Of Revenue,299000.0,0.0
EBITDA,-106623000.0,-1651000.0
EBIT,-106710000.0,-1651000.0
Net Interest Income,-8000.0,-91000.0
Interest Expense,8000.0,91000.0
Normalized Income,-96885000.0,-958000.0
Net Income From Continuing And Discontinued Operation,-106718000.0,-1742000.0
Total Expenses,88363000.0,867000.0
Total Operating Income As Reported,-87657000.0,-867000.0
Diluted Average Shares,53954052.0,32593867.0
Basic Average Shares,53954052.0,32593867.0
Diluted EPS,-1.98,-0.05
Basic EPS,-1.98,-0.05
Diluted NI Availto Com Stockholders,-106718000.0,-1742000.0
Net Income Common Stockholders,-106718000.0,-1742000.0
Net Income,-106718000.0,-1742000.0
Net Income Including Noncontrolling Interests,-106718000.0,-1742000.0
Net Income Continuous Operations,-106718000.0,-1742000.0
Pretax Income,-106718000.0,-1742000.0
Other Income Expense,-19053000.0,-784000.0
Other Non Operating Income Expenses,-9220000.0,
Special Income Charges,-9833000.0,-784000.0
Write Off,6394000.0,0.0
Restructuring And Mergern Acquisition,3439000.0,784000.0
Net Non Operating Interest Income Expense,-8000.0,-91000.0
Interest Expense Non Operating,8000.0,91000.0
Operating Income,-87657000.0,-867000.0
Operating Expense,88064000.0,867000.0
Depreciation Amortization Depletion Income Statement,87000.0,0.0
Depreciation And Amortization In Income Statement,87000.0,0.0
Research And Development,34000.0,0.0
Selling General And Administration,87943000.0,867000.0
Selling And Marketing Expense,2541000.0,0.0
General And Administrative Expense,85402000.0,867000.0
Other Gand A,85402000.0,867000.0
Gross Profit,407000.0,0.0
Cost Of Revenue,299000.0,0.0
Total Revenue,706000.0,0.0
Operating Revenue,706000.0,0.0
