,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-37240.0
Net Income From Continuing Operation Net Minority Interest,-37240.0
EBITDA,-37240.0
EBIT,-37240.0
Normalized Income,-37240.0
Net Income From Continuing And Discontinued Operation,-37240.0
Total Expenses,37240.0
Diluted NI Availto Com Stockholders,-37240.0
Net Income Common Stockholders,-37240.0
Net Income,-37240.0
Net Income Including Noncontrolling Interests,-37240.0
Net Income Continuous Operations,-37240.0
Pretax Income,-37240.0
Operating Income,-37240.0
Operating Expense,37240.0
Selling General And Administration,37240.0
General And Administrative Expense,37240.0
Other Gand A,37240.0
Total Revenue,0.0
Operating Revenue,0.0
