,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-305457.0
Net Income From Continuing Operation Net Minority Interest,1886022.0
EBITDA,-305457.0
EBIT,-305457.0
Net Interest Income,2191479.0
Interest Income,2191479.0
Normalized Income,1886022.0
Net Income From Continuing And Discontinued Operation,1886022.0
Total Expenses,305457.0
Total Operating Income As Reported,-305457.0
Diluted NI Availto Com Stockholders,1886022.0
Net Income Common Stockholders,1886022.0
Net Income,1886022.0
Net Income Including Noncontrolling Interests,1886022.0
Net Income Continuous Operations,1886022.0
Pretax Income,1886022.0
Net Non Operating Interest Income Expense,2191479.0
Interest Income Non Operating,2191479.0
Operating Income,-305457.0
Operating Expense,305457.0
Selling General And Administration,305457.0
General And Administrative Expense,305457.0
Other Gand A,305457.0
Total Revenue,0.0
Operating Revenue,0.0
