,2026-03-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21
Normalized EBITDA,187000000.0,152000000.0,52000000.0
Net Income From Continuing Operation Net Minority Interest,-5000000.0,-52000000.0,-101000000.0
Reconciled Depreciation,17000000.0,51000000.0,26000000.0
Reconciled Cost Of Revenue,251000000.0,342000000.0,148000000.0
EBITDA,187000000.0,152000000.0,52000000.0
EBIT,170000000.0,101000000.0,26000000.0
Net Interest Income,-171000000.0,-147000000.0,-130000000.0
Interest Expense,155000000.0,147000000.0,118000000.0
Interest Income,,34000000.0,32000000.0
Normalized Income,-5000000.0,-52000000.0,-101000000.0
Net Income From Continuing And Discontinued Operation,-5000000.0,-52000000.0,-101000000.0
Total Expenses,824000000.0,722000000.0,661000000.0
Total Operating Income As Reported,17000000.0,-46000000.0,-90000000.0
Diluted Average Shares,378037737.0,377255045.0,377255045.0
Basic Average Shares,378037737.0,377255045.0,377255045.0
Diluted EPS,-0.01,-0.137838,-0.267723
Basic EPS,-0.01,-0.137838,-0.267723
Diluted NI Availto Com Stockholders,-5000000.0,-52000000.0,-101000000.0
Net Income Common Stockholders,-5000000.0,-52000000.0,-101000000.0
Otherunder Preferred Stock Dividend,,0.0,0.0
Net Income,-5000000.0,-52000000.0,-101000000.0
Minority Interests,-6000000.0,1000000.0,-2000000.0
Net Income Including Noncontrolling Interests,1000000.0,-53000000.0,-99000000.0
Net Income Continuous Operations,1000000.0,-53000000.0,-99000000.0
Tax Provision,14000000.0,7000000.0,7000000.0
Pretax Income,15000000.0,-46000000.0,-92000000.0
Other Income Expense,-2000000.0,,-2000000.0
Other Non Operating Income Expenses,-2000000.0,,-2000000.0
Net Non Operating Interest Income Expense,-171000000.0,-147000000.0,-130000000.0
Total Other Finance Cost,16000000.0,17000000.0,12000000.0
Interest Expense Non Operating,155000000.0,147000000.0,118000000.0
Interest Income Non Operating,,34000000.0,32000000.0
Operating Income,188000000.0,101000000.0,40000000.0
Operating Expense,558000000.0,361000000.0,497000000.0
Other Operating Expenses,55000000.0,51000000.0,51000000.0
Provision For Doubtful Accounts,186000000.0,174000000.0,136000000.0
Depreciation Amortization Depletion Income Statement,2000000.0,32000000.0,10000000.0
Depreciation And Amortization In Income Statement,2000000.0,32000000.0,10000000.0
Depreciation Income Statement,,32000000.0,10000000.0
Research And Development,129000000.0,120000000.0,115000000.0
Selling General And Administration,186000000.0,158000000.0,185000000.0
Selling And Marketing Expense,105000000.0,93000000.0,91000000.0
General And Administrative Expense,81000000.0,65000000.0,94000000.0
Other Gand A,81000000.0,65000000.0,94000000.0
Gross Profit,746000000.0,462000000.0,537000000.0
Cost Of Revenue,266000000.0,361000000.0,164000000.0
Total Revenue,1012000000.0,823000000.0,701000000.0
Operating Revenue,1012000000.0,823000000.0,701000000.0
