,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-272696.0
Net Income From Continuing Operation Net Minority Interest,607344.0
EBITDA,-272696.0
EBIT,-272696.0
Net Interest Income,880040.0
Interest Income,880040.0
Normalized Income,607344.0
Net Income From Continuing And Discontinued Operation,607344.0
Total Expenses,272696.0
Total Operating Income As Reported,-272696.0
Diluted Average Shares,13683333.0
Basic Average Shares,13683333.0
Diluted EPS,0.04
Basic EPS,0.04
Diluted NI Availto Com Stockholders,607344.0
Net Income Common Stockholders,607344.0
Net Income,607344.0
Net Income Including Noncontrolling Interests,607344.0
Net Income Continuous Operations,607344.0
Pretax Income,607344.0
Net Non Operating Interest Income Expense,880040.0
Interest Income Non Operating,880040.0
Operating Income,-272696.0
Operating Expense,272696.0
Selling General And Administration,272696.0
General And Administrative Expense,272696.0
Other Gand A,272696.0
Total Revenue,0.0
Operating Revenue,0.0
